kaynak,bolum,kac_kez,hadis_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Tirmizî,Sıfatü’l-kıyâme,37,"…Gaflete dalan, boşa zaman geçiren, kabirleri unutan kul ne kötüdür! Azgınlık yapan, haddi aşan, nereden geldiğini ve nereye gideceğini unutan kul ne kötüdür!...","İman, Tevhid ve Ahiret",18.10.2024,"ALLAH’I, ÖLÜMÜ VE AHİRETİ UNUTMADAN BİR ÖMÜR SÜRELİM"
Tirmizî,Sıfatü’l-kıyâme,37,"Akıllı kişi, nefsine hâkim olan ve ölümden sonrası için çalışandır.",İbadet ve Kulluk,22.01.2021,AKLIN İBADETİ: TEFEKKÜR
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet gününde hiçbir kul, ömrünü ne için tükettiği, bilgisiyle ne yaptığı, malını nereden kazanıp nerede harcadığı ve bedenini neyle yıprattığı konusunda hesaba çekilmedikçe bir yere kıpırdayamayacaktır.","Afet, Kriz ve Sağlık",23.02.2018,BAĞIMLILIK BİR TUZAKTIR
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet gününde insanoğlu, malını nereden kazandığından ve nereye harcadığından hesaba çekilmedikçe Rabbinin huzurundan hiçbir yere kımıldayamaz.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",23.09.2022,HELAL KAZANÇ VE ALIN TERİ
Tirmizî,Sıfatü’l-kıyâme,37,"Desene, kürek kemiğinin dışında hepsi bize kaldı.","Ramazan, Oruç ve Bayramlar",24.06.2022,KURBAN: TAKVAYA ULAŞMA ARZUSU
Tirmizî,Sıfatü’l-kıyâme,37,"İnsanoğlu kıyamet günü beş şeyden hesaba çekilmedikçe yerinden kımıldayamayacaktır; Ömrünü nasıl tükettiğinden, gençliğini nasıl yıprattığından, malını nerede kazanıp nereye harcadığından ve öğrendiği bilgilerle nasıl amel ettiğinden","Ekonomik Hayat: Kazanç, Zekat ve İsraf",25.01.2013,ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet gününde insanoğlu şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz: Ömrünü nerede ve nasıl tükettiğinden, gençliğini ne şekilde yıprattığından, malını/servetini nereden kazanıp nerelere harcadığından, bildiği ile amel edip etmediğinden.","İman, Tevhid ve Ahiret",27.02.2015,ÖLÜM VE ÖTESİ
Tirmizî,Sıfatü’l-kıyâme,37,Ve selâmetle cennete girin!,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",28.04.2017,GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM
Tirmizî,Sıfatü’l-kıyâme,37,"Hiçbiriniz, kendisi için istediğini kardeşi için de istemedikçe tam anlamıyla iman etmiş olmaz.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",28.04.2023,İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI
Tirmizî,Sıfatü’l-kıyâme,37,"Ey insanlar! Selâmı aranızda yayın, yemek yedirin, akrabalık bağlarınızı gözetin, insanlar uyurken namaz kılın ki selâmetle cennete giresiniz.","Ramazan, Oruç ve Bayramlar",30.03.2025,RAMAZAN BAYRAMI: SEVİNÇ VE KARDEŞLİK GÜNLERİ
Tirmizî,Sıfatü’l-kıyâme,37,Kıyamet gününde insanoğlu şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz.,"Sabır, Tevekkül ve Manevi Olgunluk",30.12.2016,ÖMÜR NİMETİ
Tirmizî,Sıfatü’l-kıyâme,37,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",31.01.2014,NASIL BİR KARDEŞLİK?
Tirmizî,Sıfatü’l-kıyâme,37,"Hesaba çekilmeden önce kendinizi hesaba çekin, büyük hesap günü için kendinizi hazırlayın! Çünkü kıyamet gününde hesap, ancak dünyada iken kendisini hesaba çekenler için kolay olacaktır.","Sabır, Tevekkül ve Manevi Olgunluk",31.12.2021,"GEÇMİŞİMİZİ MUHASEBE EDELİM, GELECEĞİMİZE YÖN VERELİM"
Müslim,Îmân,35,"Bizi aldatan, bizden değildir.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",01.06.2018,MEŞRU OLMAYAN KAZANÇ: FAİZ
Müslim,Îmân,35,"…Hayâ, imandan bir parçadır.","Ahlak, Erdem ve Söz",01.08.2025,"HAYÂ: ALLAH’IN EMRİ, FITRATIN GEREĞİ"
Müslim,Îmân,35,Kim bir kötülük ve haksızlık görürse onu eliyle düzeltsin; eğer buna gücü yetmiyorsa diliyle düzeltsin; buna da gücü yetmezse kalbiyle buğzetsin...,İslam Coğrafyası ve Küresel Meseleler,03.11.2023,ZULME RIZA GÖSTERMEK ZULÜMDÜR
Müslim,Îmân,35,İman etmedikçe cennete giremezsiniz. Birbirinizi sevmedikçe de gerçek manada iman etmiş olmazsınız,Peygamberimiz ve Ashab,04.09.2026,PEYGAMBERİMİZ VE GÜZEL AHLAK
Müslim,Îmân,35,"Komşusunun, şerrinden emin olmadığı kimse cennete giremez","Toplumsal Dayanışma, Merhamet ve Kardeşlik",05.04.2019,MÜSLÜMAN HAYIRLI BİR KOMŞUDUR
Müslim,Îmân,35,"Allah güzeldir, güzel olanı sever; temizdir, temizliği sever; kerem sahibidir; cömertliği sever.",İbadet ve Kulluk,06.03.2020,"ALLAH TEMİZDİR, TEMİZLİĞİ SEVER"
Müslim,Îmân,35,İçinizden biri bir kötülük görürse onu eliyle değiştirsin. Buna gücü yetmezse diliyle değiştirsin. Buna da gücü yetmezse kalbiyle buğzetsin. Bu ise imanın asgarî gereğidir.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",07.08.2020,"MÜMİNCE BİR DUYARLILIK: İYİLİĞİ EMRETMEK, KÖTÜLÜKTEN SAKINDIRMAK"
Müslim,Îmân,35,İçinizden biri bir kötülük görürse onu eliyle düzeltsin. Buna gücü yetmiyorsa diliyle düzeltsin. Buna da gücü yetmiyorsa kalbiyle buğzetsin. Bu ise imanın asgarî gereğidir.,"Ahlak, Erdem ve Söz",08.03.2019,İYİLİK PAYLAŞTIKÇA ÇOĞALIR
Müslim,Îmân,35,Bizi aldatan bizden değildir.,"Ahlak, Erdem ve Söz",08.04.2022,RAMAZAN VE DOĞRULUK
Müslim,Îmân,35,"Bir kötülüğe şahit olan, gücü yettiği takdirde onu eli ile düzeltsin. Buna gücü yetmez ise dili ile düzeltsin. Buna da gücü yetmezse kalbi ile o kötülüğe karşı tavır koysun. Kaldı ki bu durum da imanın asgarî gereğidir.",İslam Coğrafyası ve Küresel Meseleler,08.09.2017,MAZLUMUN YANINDA YER ALMAK
Müslim,Îmân,35,Aldatan bizden değildir.,"Ahlak, Erdem ve Söz",10.11.2017,ÖRNEK İNSAN: MÜMİN
Müslim,Îmân,35,Kalbinde zerre miktarı kibir bulunan kişi cennete giremez.,"Ahlak, Erdem ve Söz",10.11.2017,ÖRNEK İNSAN: MÜMİN
Müslim,Îmân,35,Bizi aldatan bizden değildir.,"Vatan, Millet ve Tarih",12.07.2019,"15 TEMMUZ’U ANMAK, İHANETİ ANLAMAK"
Müslim,Îmân,35,"Şu üç özellik kimde bulunursa o kimse imanın tadını alır: Allah ve Resûlünü her şeyden çok sevmek. Bir kimseyi yalnızca Allah rızası için sevmek. Allah kendisini iman ile şereflendirdikten sonra, ateşe atılmaktan kaçınırcasına, küfre dönmekten kaçınmak.","İman, Tevhid ve Ahiret",13.02.2015,İMAN
Müslim,Îmân,35,Mazlumun bedduasından sakın. Çünkü onunla Allah arasında perde yoktur.,İslam Coğrafyası ve Küresel Meseleler,13.10.2023,ZULÜMLE ÂBÂD OLUNMAZ
Müslim,Îmân,35,"Din, samimiyettir.","Ahlak, Erdem ve Söz",14.07.2023,"DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR"
Müslim,Îmân,35,"Bizi aldatan, bizden değildir!","Toplumsal Dayanışma, Merhamet ve Kardeşlik",14.10.2022,KUL VE KAMU HAKKI
Müslim,Îmân,35,Bizi aldatan bizden değildir.,"Ahlak, Erdem ve Söz",15.08.2025,KUL HAKKI ATEŞTEN GÖMLEKTİR
Müslim,Îmân,35,Bizi aldatan bizden değildir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",15.09.2023,AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE HÂKİM KILMAK
Müslim,Îmân,35,"Müslüman, elinden ve dilinden Müslümanların zarar görmediği kimsedir.","Ahlak, Erdem ve Söz",17.05.2019,PEYGAMBERİMİZİN TARİFİYLE HAYIRLI MÜSLÜMAN
Müslim,Îmân,35,"Öyleyse insanların görmeleri için ıslak olan kısmı üste koyman gerekmez miydi? Bizi aldatan, bizden değildir!","Ekonomik Hayat: Kazanç, Zekat ve İsraf",17.09.2021,TİCARET HAYATINDA HELAL HARAM BİLİNCİ
Müslim,Îmân,35,Bizi aldatan bizden değildir,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",18.08.2017,ALIŞVERİŞ VE TİCARET AHLAKI
Müslim,Îmân,35,Bizi aldatan bizden değildir!,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",18.09.2026,AHÎLİK AHLAKI
Müslim,Îmân,35,Hakikati inkâr etmek ve insanları küçük görmektir.,"Ahlak, Erdem ve Söz",20.09.2019,TEVAZU İNSANI YÜCELTİR
Müslim,Îmân,35,Kim bir kötülük görürse onu eliyle düzeltsin; eğer buna gücü yetmiyorsa diliyle düzeltsin; buna da gücü yetmezse kalbi ile o kötülüğe tavır koysun. Bu da imanın asgarî gereğidir.,İslam Coğrafyası ve Küresel Meseleler,21.05.2021,ZULÜM CEZASIZ KALMAZ
Müslim,Îmân,35,Komşusu şerrinden emin olmayan kimse cennete giremez.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",21.10.2022,KOMŞULUK HUKUKU
Müslim,Îmân,35,"İman etmeden cennete giremezsiniz, birbirinizi sevmeden de gerçek anlamda iman etmiş olamazsınız.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",22.07.2022,HER CAN MUKADDESTİR
Müslim,Îmân,35,İmanın yetmiş küsür şubesi vardır... Hayâ da imandan bir şubedir.,"Ahlak, Erdem ve Söz",22.08.2014,HAYÂ HAYATTIR!
Müslim,Îmân,35,elinden ve dilinden emin olunan kimse,"Aile, Çocuk ve Nesil",26.10.2018,AİLEDE ŞEFKAT VE NEZAKET DİLİ
Müslim,Îmân,35,Hayır! Ben onu kamu malından çaldığı bir hırka ile cehennemde gördüm.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",27.06.2025,KAMU HAKKI DOKUNULMAZDIR
Müslim,Îmân,35,İmân etmedikçe cennete giremezsiniz. Birbirinizi sevmedikçe de imân etmiş olamazsınız. Yaptığınız zaman birbirinizi seveceğiniz bir şeyi size söyleyeyim mi? Aranızda selâmı yayınız.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",27.07.2012,SEVGİ VE BARIŞ DİLİ: SELÂM
Müslim,Îmân,35,"İman etmeden cennete giremezsiniz, birbirinizi sevmeden de gerçek anlamda iman etmiş olamazsınız.","İman, Tevhid ve Ahiret",27.11.2015,İMANI HAYAT KILABİLMEK
Müslim,Îmân,35,İman etmedikçe cennete giremezsiniz! Birbirinizi sevmedikçe de kâmil anlamda iman etmiş olamazsınız! Size birbirinizi sevmenize vesile olacak bir davranış öğreteyim mi? Aranızda selâmı yayın!,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",28.04.2017,GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM
Müslim,Îmân,35,"Bizi aldatan, bizden değildir","Ekonomik Hayat: Kazanç, Zekat ve İsraf",28.04.2023,İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI
Müslim,Îmân,35,Bizi aldatan bizden değildir,"Vatan, Millet ve Tarih",29.07.2016,"EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR."
Müslim,Birr,34,"Asıl pehlivan, güreşte rakibini yenen değil, öfke anında kendisine hâkim olup öfkesini yenebilendir.","Sabır, Tevekkül ve Manevi Olgunluk",01.04.2016,ÖFKEYE HÂKİM OLABİLMEK
Müslim,Birr,34,"Allah sizin görünüşlerinize ve mallarınıza bakmaz, kalplerinize ve davranışlarınıza bakar.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",01.12.2023,"İNSAN, ÖZÜ İTİBARİYLE DEĞERLİDİR"
Müslim,Birr,34,"Allah, sizin görünüşünüze ve mallarınıza bakmaz, O ancak kalplerinize ve amellerinize bakar.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",02.12.2022,"ENGEL OLMA, FARKINDA OL"
Müslim,Birr,34,"Kim, kardeşinin ihtiyacını giderirse Allah da onun ihtiyacını giderir.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",02.12.2022,"ENGEL OLMA, FARKINDA OL"
Müslim,Birr,34,"Allah, sizin suretlerinize ve mallarınıza değil, kalplerinize ve yapmış olduğunuz amellerinize bakar.","Ramazan, Oruç ve Bayramlar",03.06.2016,GELİN GÖNÜLLER YAPALIM
Müslim,Birr,34,"Allah sizin bedenlerinize ve dış görünüşlerinize değil, kalplerinize bakar.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",03.12.2021,ENGELLERİ HEP BİRLİKTE VE SEVGİYLE AŞALIM
Müslim,Birr,34,Öyle ise anne babana dön ve onların gönüllerini al.,"Aile, Çocuk ve Nesil",04.04.2025,GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANIN ROLÜ
Müslim,Birr,34,"Allah sizin suretlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar.",Peygamberimiz ve Ashab,04.09.2026,PEYGAMBERİMİZ VE GÜZEL AHLAK
Müslim,Birr,34,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir bedene benzer","Vatan, Millet ve Tarih",06.02.2026,BİRLİK VE BERABERLİK
Müslim,Birr,34,İyilik güzel ahlâktır. Kötülük ise vicdanını rahatsız eden ve insanların bilmesini istemediğin şeydir.,"Ahlak, Erdem ve Söz",06.04.2018,İYİLİK: PAYLAŞILDIKÇA ARTAN DEĞER
Müslim,Birr,34,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu düşmana teslim etmez…","Ramazan, Oruç ve Bayramlar",06.06.2025,KURBAN BAYRAMI: ALLAH’IN KULLARINA İHSAN VE İKRAMI
Müslim,Birr,34,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir beden gibidir.","Afet, Kriz ve Sağlık",06.08.2021,ZORLUKLAR BİRLİKTE AŞILIR
Müslim,Birr,34,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir bedene benzer. Öyle bir beden ki, bir uzvu rahatsızlandığında diğer uzuvları da uykusuzluk ve yüksek ateşle bu acıya ortak olur.","İman, Tevhid ve Ahiret",06.11.2020,MÜMİN SORUMLULUK SAHİBİDİR
Müslim,Birr,34,"İyilik, güzel ahlaktır; kötülük ise, vicdanını rahatsız eden ve insanların bilmesini istemediğin şeydir.","Ramazan, Oruç ve Bayramlar",07.03.2025,İYİLİK AYI RAMAZAN
Müslim,Birr,34,"Allah sizin şeklinize ve mallarınıza bakmaz, kalplerinize ve amellerinize bakar.",İbadet ve Kulluk,08.07.2022,HAC: İLÂHİ DAVET
Müslim,Birr,34,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu düşmana teslim etmez…","Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.12.2023,"BİZ, TEK BİR ÜMMETİZ"
Müslim,Birr,34,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir beden gibidir.","Afet, Kriz ve Sağlık",10.02.2023,"GÜN, MİLLETÇE KENETLENME GÜNÜDÜR"
Müslim,Birr,34,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu yalnızlığa terk etmez. Kim din kardeşinin bir ihtiyacını giderirse, Allah da onun ihtiyacını giderir. Kim bir Müslümanın bir sıkıntısını giderirse, Allah da onun kıyamet sıkıntılarından birini giderir…","Toplumsal Dayanışma, Merhamet ve Kardeşlik",10.10.2014,BİZ KARDEŞİZ
Müslim,Birr,34,İyilik güzel ahlaktır. Kötülük ise vicdanını rahatsız eden ve insanların bilmesini istemediğin şeydir.,"Ahlak, Erdem ve Söz",11.03.2022,DÜNYA HAYATI BİR İYİLİK YOLCULUĞUDUR
Müslim,Birr,34,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir beden gibidir.","Ramazan, Oruç ve Bayramlar",13.05.2021,KUDÜS’ÜN ÖZGÜR OLDUĞU BAYRAMLARA
Müslim,Birr,34,"Kim, kardeşinin ihtiyacını giderirse Allah da onun ihtiyacını giderir","Aile, Çocuk ve Nesil",15.05.2026,TOPLUMSAL SORUMLULUKLARIMIZ
Müslim,Birr,34,"Bir kişi kıyamet günü kıldığı namaz, tuttuğu oruç ve verdiği zekâtla gelir. Ancak dünyada iken birine sövmüş, diğerine iftira atmış, ötekinin malını yemiş, berikinin kanını dökmüş, bir başkasını dövmüştür. İhlal ettiği bu hakların karşılığı olarak onun iyiliklerinden alınıp hak sahiplerine verilir. Şayet hesap tamamlanmadan iyilikleri biterse, mağdur ettiği insanların günahlarından alınarak onun ü","Ahlak, Erdem ve Söz",15.08.2025,KUL HAKKI ATEŞTEN GÖMLEKTİR
Müslim,Birr,34,"Aksine gerçek müflis şu kimsedir: Kıyamet günü kıldığı namaz, tuttuğu oruç ve verdiği zekâtla gelir. Ancak dünyada iken şuna sövmüş, buna iftira atmış, ötekinin malını yemiş, berikinin kanını dökmüş, bir başkasını dövmüştür. İhlâl ettiği bu hakların karşılığı olarak onun iyiliklerinden alınıp hak sahiplerine verilir. Şayet hesabı görülmeden iyilikleri biterse, mağdur ettiği insanların günahlarında","Toplumsal Dayanışma, Merhamet ve Kardeşlik",18.10.2019,KUL VE KAMU HAKKI
Müslim,Birr,34,"Kim, bir kardeşinin ihtiyacını giderirse Allah da onun ihtiyacını giderir","Ramazan, Oruç ve Bayramlar",20.03.2026,RAMAZAN BAYRAMI
Müslim,Birr,34,"…Allah, bir kulun hoşgörülü olması sebebiyle izzetini artırır, Allah için tevazu gösteren kişiyi ise yüceltir.","Ahlak, Erdem ve Söz",20.09.2019,TEVAZU İNSANI YÜCELTİR
Müslim,Birr,34,"Kim, bir kardeşinin ihtiyacını giderirse Allah da onun ihtiyacını giderir.","Afet, Kriz ve Sağlık",24.02.2023,"KARDEŞLİK, DAYANIŞMA VE DUA VAKTİ"
Müslim,Birr,34,İşte takva buradadır.,"İman, Tevhid ve Ahiret",24.09.2021,TAKVA: RABBİMİZİN RIZASINI DİRİ TUTMA BİLİNCİ
Müslim,Birr,34,Ben ancak rahmet olarak gönderildim.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",25.11.2022,MERHAMET TOPLUMU
Müslim,Birr,34,"Allah sizin suretlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",26.04.2019,TİCARET HAYATININ BEREKETİ: İŞ AHLAKI
Müslim,Birr,34,Burnu yerde sürtünsün,"Aile, Çocuk ve Nesil",26.07.2024,"CENNET VESİLEMİZ, AİLE BÜYÜKLERİMİZ"
Müslim,Birr,34,"Allah sizin görünüşlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar.","Ahlak, Erdem ve Söz",29.11.2019,DİNİN ÖZÜ SAMİMİYETTİR
Müslim,Birr,34,"Allah, sizin görünüşlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar.","Ahlak, Erdem ve Söz",29.11.2019,DİNİN ÖZÜ SAMİMİYETTİR
Müslim,Birr,34,"Müminler, birbirini sevmede, birbirine merhamet ve şefkatte, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir beden gibidir.","Ramazan, Oruç ve Bayramlar",30.03.2025,RAMAZAN BAYRAMI: SEVİNÇ VE KARDEŞLİK GÜNLERİ
Müslim,Birr,34,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu yalnızlığa terk etmez. Kim din kardeşinin bir ihtiyacını giderirse, Allah da onun ihtiyacını giderir. Kim bir Müslümanın bir sıkıntısını giderirse, Allah da onun kıyamet sıkıntılarından birini giderir…","Toplumsal Dayanışma, Merhamet ve Kardeşlik",31.01.2014,NASIL BİR KARDEŞLİK?
Buhârî,Edeb,28,Her iyilik sadakadır,"Kandiller, Muharrem ve Mübarek Geceler",01.03.2019,BEREKET MEVSİMİ: ÜÇ AYLAR
Buhârî,Edeb,28,Öfkene hâkim ol!,"Sabır, Tevekkül ve Manevi Olgunluk",01.04.2016,ÖFKEYE HÂKİM OLABİLMEK
Buhârî,Edeb,28,"Mümin, mümin kardeşi için birbirine sımsıkı kenetlenmiş tuğlalardan oluşan bir bina gibidir.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",02.04.2021,BİRBİRİMİZİN FARKINDA OLALIM
Buhârî,Edeb,28,"Şüphesiz, doğruluk insanı iyiliğe, iyilik de cennete götürür. Kişi devamlı doğru söyler ve doğruluktan ayrılmazsa Allah katında sıddîk olarak tescillenir. Yalan insanı kötülüğe, kötülük de cehenneme götürür. Kişi devamlı yalan söyler, yalan peşinde koşarsa Allah katında yalancı olarak tescillenir.","Ahlak, Erdem ve Söz",04.02.2022,SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM
Buhârî,Edeb,28,Yumuşak söz sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Buhârî,Edeb,28,"Birbirinizden nefret etmeyin, birbirinize haset etmeyin, birbirinize sırt çevirmeyin. Ey Allah’ın kulları, kardeş olun",Peygamberimiz ve Ashab,04.09.2026,PEYGAMBERİMİZ VE GÜZEL AHLAK
Buhârî,Edeb,28,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir bedene benzer.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",07.07.2017,İMANIMIZ VE İNSANLIĞIMIZIN İMTİHANI: MÜLTECİLER
Buhârî,Edeb,28,"Ey Enceşe, sakin ol! Kristalleri dikkatli taşı!","Aile, Çocuk ve Nesil",08.03.2013,BİR KUL OLARAK KADIN
Buhârî,Edeb,28,"Doğruluk insanı iyiliğe, iyilik de cennete götürür. Kişi devamlı doğru söyler ve doğruluktan ayrılmazsa Allah katında sıddîk olarak tescillenir…","Ahlak, Erdem ve Söz",08.04.2022,RAMAZAN VE DOĞRULUK
Buhârî,Edeb,28,"Rızkının bol, ömrünün bereketli olmasını arzu eden, akrabalık bağını devam ettirsin.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.08.2025,SILA-İ RAHİMLE BEREKETLENEN TATİL
Buhârî,Edeb,28,Merhamet etmeyen kimseye merhamet olunmaz.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.11.2024,MERHAMET EDEN MERHAMET BULUR
Buhârî,Edeb,28,"Sizin en hayırlınız, kendisinden hayır umulan ve asla kötülük beklenmeyendir.","Ahlak, Erdem ve Söz",10.03.2023,MÜMİN GÜVENEN VE GÜVENİLEN KİŞİDİR
Buhârî,Edeb,28,Mümin bir delikten iki defa ısırılmaz.,"Vatan, Millet ve Tarih",10.07.2020,15 TEMMUZ VE BİRLİK RUHU
Buhârî,Edeb,28,"Mümin, bir delikten iki defa ısırılmaz.","Ahlak, Erdem ve Söz",10.11.2017,ÖRNEK İNSAN: MÜMİN
Buhârî,Edeb,28,"Mümin, bir delikten iki kere ısırılmaz.","Vatan, Millet ve Tarih",11.07.2025,SAHİH DİNİ BİLGİNİN ÖNEMİ
Buhârî,Edeb,28,"Güçlü kimse, insanları güreşte yenen değildir. Bilakis güçlü kimse öfke anında kendisine hâkim olandır.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",13.09.2019,HER CAN DOKUNULMAZDIR
Buhârî,Edeb,28,"Mümin, bir delikten iki kere ısırılmaz.","Vatan, Millet ve Tarih",15.07.2022,15 TEMMUZ: BİRLİK VE BERABERLİĞİN ZAFERİ
Buhârî,Edeb,28,Her iyilik bir sadakadır.,"Ramazan, Oruç ve Bayramlar",17.07.2015,RAMAZAN MEKTEBİNİN ÖĞRETTİKLERİ
Buhârî,Edeb,28,"Gerçek pehlivan güreşte rakibini yenen değil, öfkelendiğinde kendisine hâkim olandır.","Ahlak, Erdem ve Söz",19.04.2024,HAYATIN HER ALANINDA ÖFKEMİZE HÂKİM OLALIM
Buhârî,Edeb,28,"İnsanlık, ilk günden beri bütün peygamberlerin üzerinde ittifak ettikleri bir söz öğrenmiştir: Şayet utanmıyorsan dilediğini yap!","Ahlak, Erdem ve Söz",19.07.2024,MÜSLÜMAN TAKVA SAHİBİDİR
Buhârî,Edeb,28,Âdemoğlu zamana kahreder. Hâlbuki zamanı var eden benim! Gece de gündüz de benim elimdedir.,"Sabır, Tevekkül ve Manevi Olgunluk",19.12.2025,HER ANIMIZI EBEDİ KAZANCA DÖNÜŞTÜREBİLİRİZ
Buhârî,Edeb,28,"Ya hayır söyleyin, ya susun!","Ahlak, Erdem ve Söz",22.01.2016,SÖZ AHLAKI
Buhârî,Edeb,28,Her iyilik bir sadakadır.,İbadet ve Kulluk,22.05.2020,BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK
Buhârî,Edeb,28,Öteden beri insanların peygamberlerden öğrenegeldiği bir söz vardır: Utanmıyorsan dilediğini yap!,"Ahlak, Erdem ve Söz",25.01.2019,İSLAM AHLÂKININ ÖZÜ HAYÂDIR
Buhârî,Edeb,28,"Hayâ, ancak hayır getirir.","Ahlak, Erdem ve Söz",25.01.2019,İSLAM AHLÂKININ ÖZÜ HAYÂDIR
Buhârî,Edeb,28,"Mümin, mümin kardeşi için birbirine sımsıkı kenetlenmiş tuğlalardan oluşan bir bina gibidir.","Vatan, Millet ve Tarih",25.10.2024,VATAN MÜDAFAASI MUKADDESTİR
Buhârî,Edeb,28,Her iyilik bir sadakadır.,"Ramazan, Oruç ve Bayramlar",28.03.2025,RAMAZAN’A VEDA EDERKEN
Buhârî,Edeb,28,Allah'a ve ahiret gününe inanan ya hayır söylesin ya da sussun...,"Ahlak, Erdem ve Söz",28.11.2014,DİLİN ESİRİ OLMAYALIM!
Buhârî,Îmân,25,"Her kimin yanında kardeşi çalışırsa, ona yediğinden yedirsin, giydiğinden giydirsin. Onlara güçlerini aşan işler yüklemeyin","Ekonomik Hayat: Kazanç, Zekat ve İsraf",01.05.2026,ALIN TERİ MUKADDESTİR
Buhârî,Îmân,25,"İyi Müslüman, dilinden ve elinden Müslümanların emin olduğu kişidir. Asıl hicret eden de Allah'ın yasakladıklarını terk edendir.",Peygamberimiz ve Ashab,01.11.2013,RAHMET’İN HİCRETİ
Buhârî,Îmân,25,Kim inanarak ve karşılığını Allah'tan bekleyerek Ramazan orucunu tutarsa geçmiş günahları bağışlanır,"Ramazan, Oruç ve Bayramlar",03.05.2019,HOŞ GELDİN YA ŞEHR-İ RAMAZAN
