tarih,yil,baslik,ana_tema,ikincil_temalar,atif_sayisi
05.05.2017,2017,NEDAMET VE ÜMİDİN ADI: TÖVBE,"Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab; İman, Tevhid ve Ahiret",2
12.05.2017,2017,SAMİMİYETSİZLİĞİN ADI: RİYA,"Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret",1
19.05.2017,2017,GERÇEK ÖZGÜRLÜK: ALLAH’A KULLUK,İbadet ve Kulluk,"İman, Tevhid ve Ahiret",1
26.05.2017,2017,ÜZERİMİZDE HER CANIN HAKKI VARDIR,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ramazan, Oruç ve Bayramlar",1
02.06.2017,2017,ORUCUN AÇLIĞI AÇGÖZLÜLÜĞÜ TEDAVİ EDER,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk",2
09.06.2017,2017,KUR’AN AYINDA KUR’AN’LA BULUŞALIM,"Aile, Çocuk ve Nesil",,4
16.06.2017,2017,"ZEKÂT, KAZANCI ARTIRIR; FAİZ YOK EDER","Ekonomik Hayat: Kazanç, Zekat ve İsraf",,2
23.06.2017,2017,ÖMRÜMÜZÜ RAMAZAN KILABİLMEK,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk",3
25.06.2017,2017,RAMAZAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar",1
30.06.2017,2017,ALLAH’IN SIKI TUTULMASINI EMRETTİĞİ BAĞ: SILA-İ RAHİM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,0
07.07.2017,2017,İMANIMIZ VE İNSANLIĞIMIZIN İMTİHANI: MÜLTECİLER,İbadet ve Kulluk,"Vatan, Millet ve Tarih; İslam Coğrafyası ve Küresel Meseleler",1
14.07.2017,2017,SALÂLARIN ŞAHİT OLDUĞU DİRENİŞ: 15 TEMMUZ,"Vatan, Millet ve Tarih",,1
21.07.2017,2017,TÜKENMEYEN HÜZNÜMÜZ: KUDÜS VE MESCİD-İ AKSÂ,İslam Coğrafyası ve Küresel Meseleler,,0
28.07.2017,2017,"YARATAN, YAŞATAN, HİDAYET VEREN ALLAH’TIR","İman, Tevhid ve Ahiret",,0
04.08.2017,2017,RAHMAN’A HAS KUL OLABİLMEK,"Ahlak, Erdem ve Söz",,2
11.08.2017,2017,ÂYETE’L-KÜRSİ’DEN ÖĞRENDİĞİMİZ HAKİKATLER,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ramazan, Oruç ve Bayramlar",0
18.08.2017,2017,ALIŞVERİŞ VE TİCARET AHLAKI,"Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf",10
25.08.2017,2017,ALLAH’A YAKIN OLMA ARAYIŞI: KURBAN,"İman, Tevhid ve Ahiret","Vatan, Millet ve Tarih",1
01.09.2017,2017,İMAN VE İSLAM’IN TEZAHÜRÜ: FAYDASIZ ŞEYLERDEN UZAK DURMAK,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
01.09.2017,2017,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
08.09.2017,2017,MAZLUMUN YANINDA YER ALMAK,"Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Ekonomik Hayat: Kazanç, Zekat ve İsraf",2
15.09.2017,2017,BİLENLERLE BİLMEYENLER BİR OLUR MU?,İslam Coğrafyası ve Küresel Meseleler,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",1
22.09.2017,2017,HİCRET: KUTLU BİR YOLCULUK,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler; İbadet ve Kulluk",0
29.09.2017,2017,"CAMİ, ŞEHİR VE MEDENİYET",İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler",0
06.10.2017,2017,"ALLAH’I UNUTANLAR, UNUTULURLAR","İman, Tevhid ve Ahiret",İbadet ve Kulluk,6
13.10.2017,2017,CENNET YOLCUSU OLABİLMEK,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; Ahlak, Erdem ve Söz",2
20.10.2017,2017,MÜMİNCE BİR DURUŞ: TEVEKKÜL,"Sabır, Tevekkül ve Manevi Olgunluk",,1
27.10.2017,2017,ŞÜKREDEN BİR KUL OLABİLMEK,"Sabır, Tevekkül ve Manevi Olgunluk",,2
03.11.2017,2017,SÜNNET: NEBEVİ KILAVUZ,Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret; Kur'an-ı Kerim",0
10.11.2017,2017,ÖRNEK İNSAN: MÜMİN,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik",5
17.11.2017,2017,ALLAH KATINDA DİN İSLAM’DIR,"İman, Tevhid ve Ahiret",,2
24.11.2017,2017,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",0
01.12.2017,2017,GÜNEŞİN DOĞDUĞU EN HAYIRLI GÜN: CUMA,İbadet ve Kulluk,,1
08.12.2017,2017,KAPANMAYAN YARAMIZ: KUDÜS,İslam Coğrafyası ve Küresel Meseleler,,1
15.12.2017,2017,KARDEŞLİĞE SAPLANAN HANÇER: GIYBET,"Ahlak, Erdem ve Söz",,3
22.12.2017,2017,HELAL HARAM DUYARLILIĞI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,2
29.12.2017,2017,EŞSİZ SERMAYEMİZ: ÖMÜR,"Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf",3
05.01.2018,2018,DÜNYADAKİ CENNETİMİZ: AİLE,"Aile, Çocuk ve Nesil",,2
12.01.2018,2018,"HAKKIN YANINDA, BÂTILIN KARŞISINDA YER ALABİLMEK",Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret; Toplumsal Dayanışma, Merhamet ve Kardeşlik",0
19.01.2018,2018,ÖNCE KENDİMİZDEN SORUMLUYUZ,"Sabır, Tevekkül ve Manevi Olgunluk",,5
26.01.2018,2018,BİRLİK VE BERABERLİK RUHU,"Vatan, Millet ve Tarih",,1
02.02.2018,2018,İSLAM’IN İKİ ANA KAYNAĞI: KUR’AN VE SÜNNET,Kur'an-ı Kerim,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Peygamberimiz ve Ashab",0
09.02.2018,2018,"İSRAF, DİNÎ VE AHLAKÎ BİR İFLASTIR","Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
16.02.2018,2018,CİHÂD: ALLAH YOLUNDA CANLA VE MALLA MÜCADELE,"Vatan, Millet ve Tarih",,2
23.02.2018,2018,BAĞIMLILIK BİR TUZAKTIR,"Afet, Kriz ve Sağlık","Aile, Çocuk ve Nesil",6
02.03.2018,2018,İSLAM’DA TİCARET AHLAKI,"Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf; Aile, Çocuk ve Nesil",11
16.03.2018,2018,MİLLETİMİZİN VAROLUŞ MÜCADELESİ: ÇANAKKALE ZAFERİ,"Vatan, Millet ve Tarih",,4
23.03.2018,2018,İBADET HAYATIMIZ VE GÖNÜL DÜNYAMIZ,İbadet ve Kulluk,,9
06.04.2018,2018,İYİLİK: PAYLAŞILDIKÇA ARTAN DEĞER,"Ahlak, Erdem ve Söz",,5
20.04.2018,2018,YARINLARIMIZIN ÜMİDİ ÇOCUKLARIMIZ,"Aile, Çocuk ve Nesil",,5
27.04.2018,2018,"AF, ARINMA VE KURTULUŞ VESİLESİ: BERAT GECESİ","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk",0
04.05.2018,2018,KESİNTİSİZ HAYIR ÇEŞMESİ: VAKIFLAR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,2
11.05.2018,2018,ADALET VE İHSAN YUVASI: AİLE,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil",2
18.05.2018,2018,DİNMEYEN YARAMIZ: KUDÜS,İslam Coğrafyası ve Küresel Meseleler,,1
25.05.2018,2018,ORUÇ VE KUR’ÂN AYI RAMAZAN,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk",3
01.06.2018,2018,MEŞRU OLMAYAN KAZANÇ: FAİZ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,5
08.06.2018,2018,"AFİYET OLSUN, İSRAF OLMASIN","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk; Kandiller, Muharrem ve Mübarek Geceler",3
15.06.2018,2018,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; İbadet ve Kulluk",7
15.06.2018,2018,KULLUK BİLİNCİYLE BİR ÖMÜR GEÇİRMEK,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; İbadet ve Kulluk",7
22.06.2018,2018,YAZ KUR’AN KURSLARI VE ÖNEMİ,Kur'an-ı Kerim,,2
29.06.2018,2018,EVLADIN ANNE-BABA ÜZERİNDEKİ HAKLARINDAN BİRİ: GÜZEL İSİM,"Aile, Çocuk ve Nesil","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih",2
06.07.2018,2018,ALLAH’IN RIZASINA ULAŞTIRAN SALİH AMELLER,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; Ahlak, Erdem ve Söz",3
13.07.2018,2018,MİLLETÇE YENİDEN DOĞUŞ: 15 TEMMUZ,"Vatan, Millet ve Tarih",,1
20.07.2018,2018,DÜĞÜN ÂDÂBI,"Aile, Çocuk ve Nesil",,4
27.07.2018,2018,İMAN-AMEL İLİŞKİSİ,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; Ahlak, Erdem ve Söz",4
03.08.2018,2018,CAMİ VE CEMAAT ADABI,İbadet ve Kulluk,,3
10.08.2018,2018,"KURBAN, ALLAH’A YAKINLAŞMA VESİLESİDİR","Ramazan, Oruç ve Bayramlar",,1
17.08.2018,2018,SADAKA-İ CÂRİYE,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,6
21.08.2018,2018,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,2
24.08.2018,2018,"GAYRET MÜMİNLERDEN, ZAFER ALLAH’TANDIR","Vatan, Millet ve Tarih",,3
31.08.2018,2018,"ÇALIŞMAK, HAYATIMIZA BEREKET GETİRİR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk",3
07.09.2018,2018,HİCRET,Peygamberimiz ve Ashab,,0
14.09.2018,2018,MUHARREM AYI VE ÂŞÛRÂ GÜNÜ,"Kandiller, Muharrem ve Mübarek Geceler",,0
21.09.2018,2018,ALLAH’IN GÜZEL İSİMLERİNDEN MÜMİNLERE MESAJLAR,"İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz",0
28.09.2018,2018,CAMİLER VE DİN HİZMETİNE ADANMIŞ ÖMÜRLER,İbadet ve Kulluk,Kur'an-ı Kerim,0
05.10.2018,2018,CENAZE ÂDÂBI: AHİRET YOLCUSUNA,"İman, Tevhid ve Ahiret","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk",5
12.10.2018,2018,"CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VERMİŞTİR","Toplumsal Dayanışma, Merhamet ve Kardeşlik",,5
19.10.2018,2018,MADDİ VE MANEVİ ARINMA: TEMİZLİK,"İman, Tevhid ve Ahiret","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Ahlak, Erdem ve Söz",4
26.10.2018,2018,AİLEDE ŞEFKAT VE NEZAKET DİLİ,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",3
02.11.2018,2018,TEMİZ GIDA TEMİZ NESİL,"Sabır, Tevekkül ve Manevi Olgunluk","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",5
09.11.2018,2018,SAĞLIK: DÜNYALARA DEĞER NİMET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk",4
16.11.2018,2018,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,,2
23.11.2018,2018,EN BÜYÜK ZENGİNLİĞİMİZ GENÇLERİMİZ,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Afet, Kriz ve Sağlık",1
30.11.2018,2018,NEFİS: İYİ VE KÖTÜNÜN MÜCADELE ALANI,"Sabır, Tevekkül ve Manevi Olgunluk",,2
07.12.2018,2018,SELÂM: İSLÂM’IN GÜVEN VE BARIŞ ÇAĞRISI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",Peygamberimiz ve Ashab,2
14.12.2018,2018,RAHMET VE MAĞFİRET KAPISI: TEVBE,"İman, Tevhid ve Ahiret",Peygamberimiz ve Ashab,7
21.12.2018,2018,VARLIĞIN İLAHİ MAYASI MERHAMET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,2
28.12.2018,2018,BİR ÖMÜR SORUMLULUK BİLİNCİYLE YAŞAMAK,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",3
04.01.2019,2019,ÖZÜ SÖZÜ DOĞRU OLMAK,"Ahlak, Erdem ve Söz",,3
11.01.2019,2019,"İNSANIN KEMAL YOLCULUĞU: İSLAM, İMAN VE İHSAN",İbadet ve Kulluk,"Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk",4
18.01.2019,2019,MÜSLÜMANLAR İLİM VE MEDENİYETİN ÖNCÜLERİDİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,3
25.01.2019,2019,İSLAM AHLÂKININ ÖZÜ HAYÂDIR,"Ahlak, Erdem ve Söz",,7
01.02.2019,2019,RIFK: ALLAH HER İŞTE ZERAFETİ SEVER,"Sabır, Tevekkül ve Manevi Olgunluk",,6
08.02.2019,2019,İBADET: KUL OLMA ŞUURU,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar",4
15.02.2019,2019,HAYATI YAŞANILIR KILMANIN YOLU: DİN VE MANEVİYAT,"Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf; İman, Tevhid ve Ahiret",2
22.02.2019,2019,"YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",5
01.03.2019,2019,BEREKET MEVSİMİ: ÜÇ AYLAR,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
08.03.2019,2019,İYİLİK PAYLAŞTIKÇA ÇOĞALIR,"Ahlak, Erdem ve Söz",,3
15.03.2019,2019,ÇANAKKALE ZAFERİ VE BİRLİK RUHU,"Vatan, Millet ve Tarih",,2
22.03.2019,2019,KUR’AN VE SÜNNET BİR BÜTÜNDÜR,Peygamberimiz ve Ashab,Kur'an-ı Kerim,0
29.03.2019,2019,MİRAÇ GECESİ,İbadet ve Kulluk,"İslam Coğrafyası ve Küresel Meseleler; Kandiller, Muharrem ve Mübarek Geceler",2
05.04.2019,2019,MÜSLÜMAN HAYIRLI BİR KOMŞUDUR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,4
12.04.2019,2019,İMANIN HAYATIMIZDAKİ YANSIMALARI,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",1
19.04.2019,2019,BERÂT GECESİ,"İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler; Sabır, Tevekkül ve Manevi Olgunluk",0
26.04.2019,2019,TİCARET HAYATININ BEREKETİ: İŞ AHLAKI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
03.05.2019,2019,HOŞ GELDİN YA ŞEHR-İ RAMAZAN,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar",4
10.05.2019,2019,RAMAZAN VE İNFAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik",4
17.05.2019,2019,PEYGAMBERİMİZİN TARİFİYLE HAYIRLI MÜSLÜMAN,"Ahlak, Erdem ve Söz",,4
24.05.2019,2019,KARDEŞLİĞİMİZ ZEKÂT VE FITIR SADAKASIYLA BEREKETLENSİN,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ekonomik Hayat: Kazanç, Zekat ve İsraf",7
04.06.2019,2019,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik",3
07.06.2019,2019,"AİLE OLMAK, AİLE KALMAK","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",8
14.06.2019,2019,"CAMİLER ÇOCUK DOLSUN, AHLAKI KUR’AN OLSUN","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Kur'an-ı Kerim; Ahlak, Erdem ve Söz",1
21.06.2019,2019,ALLAH’A İMAN,"İman, Tevhid ve Ahiret",,0
28.06.2019,2019,BİR MUKADDES YOLCULUK: HAC,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar; Peygamberimiz ve Ashab",2
05.07.2019,2019,"NESLİN KORUNMASI: ERDEMLİ BİR NESİL, HUZURLU BİR GELECEK","Aile, Çocuk ve Nesil",,1
12.07.2019,2019,"15 TEMMUZ’U ANMAK, İHANETİ ANLAMAK","Vatan, Millet ve Tarih",,2
19.07.2019,2019,CUMA NAMAZI VE ADABI,İbadet ve Kulluk,,3
26.07.2019,2019,BEDEN MAHREMİYETİ VE TESETTÜR,"Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",3
02.08.2019,2019,RABBİN İÇİN KURBAN KES,"Ramazan, Oruç ve Bayramlar",,1
09.08.2019,2019,MÜMİN: HUZURLU TOPLUMUN TEMİNATI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz",8
11.08.2019,2019,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,3
16.08.2019,2019,GÜVENLİ BİR HAYAT İÇİN AFETLERE HAZIR OLALIM,"Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk",5
23.08.2019,2019,FAİZİN TOPLUMSAL ZARARLARI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,6
30.08.2019,2019,VATAN BİZE EMANETTİR,"Vatan, Millet ve Tarih",,3
06.09.2019,2019,MUHARREM AYI VE ÂŞÛRÂ GÜNÜ,"Kandiller, Muharrem ve Mübarek Geceler",,2
13.09.2019,2019,HER CAN DOKUNULMAZDIR,"Aile, Çocuk ve Nesil",,7
20.09.2019,2019,TEVAZU İNSANI YÜCELTİR,"Ahlak, Erdem ve Söz",,4
27.09.2019,2019,CAMİ VE HAYAT,İbadet ve Kulluk,,0
04.10.2019,2019,DÜNYA EVİMİZ BİZE EMANETTİR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",6
11.10.2019,2019,GÜN BİRLİK VE DAYANIŞMA GÜNÜDÜR,"Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
18.10.2019,2019,KUL VE KAMU HAKKI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,5
25.10.2019,2019,DUALARIMIZ MEHMETÇİĞİMİZ İÇİN,"Vatan, Millet ve Tarih",,2
01.11.2019,2019,DÜNYEVİLEŞMEK: GEÇİCİ OLANA GÖNÜL VERMEK,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",2
08.11.2019,2019,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
15.11.2019,2019,PEYGAMBERİMİZ VE AİLE,"Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik",4
22.11.2019,2019,MUSİBETLER KARŞISINDA MÜMİNİN TAVRI,"Sabır, Tevekkül ve Manevi Olgunluk",,5
29.11.2019,2019,DİNİN ÖZÜ SAMİMİYETTİR,"Ahlak, Erdem ve Söz",,2
06.12.2019,2019,BATIL İNANÇ VE HURAFELER,"Sabır, Tevekkül ve Manevi Olgunluk","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; İman, Tevhid ve Ahiret",1
13.12.2019,2019,NAMAZ: RABBİMİZE YAKIN OLMA ÇABAMIZ,İbadet ve Kulluk,,2
20.12.2019,2019,TAKVA: EN HAYIRLI AZIĞIMIZ,"Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk",5
27.12.2019,2019,TEFEKKÜR İLE BİR ÖMÜR GEÇİRMEK,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",3
03.01.2020,2020,"İNSAN, İMAN VE HAYAT","Ekonomik Hayat: Kazanç, Zekat ve İsraf","İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk",1
10.01.2020,2020,PEYGAMBERİMİZİN DİLİNDEN DUALAR,"Sabır, Tevekkül ve Manevi Olgunluk",İbadet ve Kulluk,2
17.01.2020,2020,TEKNOLOJİ BAĞIMLILIĞI VE SOSYAL MEDYA AHLAKI,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Aile, Çocuk ve Nesil; Toplumsal Dayanışma, Merhamet ve Kardeşlik",3
24.01.2020,2020,SORUMLULUK SAHİBİ BİR BABA OLABİLMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil",5
31.01.2020,2020,AFETLERE KARŞI BİLİNÇLİ OLALIM,"Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik",3
07.02.2020,2020,KUDÜS İSLAM YURDUDUR,İslam Coğrafyası ve Küresel Meseleler,"Afet, Kriz ve Sağlık",2
14.02.2020,2020,ALLAH İLE KUL ARASINDAKİ BAĞ,"İman, Tevhid ve Ahiret",,1
21.02.2020,2020,ÜÇ AYLARIN MANEVİ İKLİMİNE YAKLAŞIRKEN,"Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar",0
28.02.2020,2020,"HAK UĞRUNDA MÜCADELEMİZ, BİRLİK VE BERABERLİK RUHUMUZ","Vatan, Millet ve Tarih",,4
06.03.2020,2020,"ALLAH TEMİZDİR, TEMİZLİĞİ SEVER",İbadet ve Kulluk,"Peygamberimiz ve Ashab; Vatan, Millet ve Tarih",4
13.03.2020,2020,TEDBİR MÜMİN’DEN TAKDİR ALLAH’TANDIR,"Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk",1
27.03.2020,2020,ZORLUKLAR KARŞISINDA MÜMİN,"Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk",5
03.04.2020,2020,BERAT GECESİ: AF VE ARINMA VESİLESİ,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; İman, Tevhid ve Ahiret",5
10.04.2020,2020,"İNSAN, SORUMLULUK SAHİBİDİR","Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk; İman, Tevhid ve Ahiret",5
17.04.2020,2020,AİLE: HUZUR VE GÜVEN KAYNAĞI,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk; Peygamberimiz ve Ashab",9
01.05.2020,2020,RAMAZAN VE SORUMLULUK BİLİNCİ,"Sabır, Tevekkül ve Manevi Olgunluk","Ramazan, Oruç ve Bayramlar",3
08.05.2020,2020,"RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA AYI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf",5
15.05.2020,2020,KUR’AN’LA YAŞAMAK,"Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar; Kur'an-ı Kerim",4
22.05.2020,2020,BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ramazan, Oruç ve Bayramlar",6
29.05.2020,2020,HAMDOLSUN RABBİMİZE,İbadet ve Kulluk,"Afet, Kriz ve Sağlık",0
05.06.2020,2020,AHİRETE İNANAN MÜMİN,"İman, Tevhid ve Ahiret",,2
12.06.2020,2020,"MÜSTAKİM OL, EMİN OL HER TASADAN!","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk",0
19.06.2020,2020,HALİS NİYET VE SAMİMİYET,İbadet ve Kulluk,"İman, Tevhid ve Ahiret",2
26.06.2020,2020,YUVALARIMIZ KUR’AN İLE AYDINLANSIN,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim",1
03.07.2020,2020,SABRIN SONU SELAMETTİR,"Sabır, Tevekkül ve Manevi Olgunluk",,2
10.07.2020,2020,15 TEMMUZ VE BİRLİK RUHU,"Vatan, Millet ve Tarih",,2
17.07.2020,2020,"KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
24.07.2020,2020,"AYASOFYA: FETHİN NİŞANESİ, FATİH’İN EMANETİ",İbadet ve Kulluk,"Vatan, Millet ve Tarih",2
31.07.2020,2020,KURBAN BAYRAMI: TAKVA YOLCULUĞU,"Ramazan, Oruç ve Bayramlar",,3
31.07.2020,2020,VEDA HUTBESİ: ÇAĞLARI AŞAN NEBEVİ VASİYET,"Ramazan, Oruç ve Bayramlar",,3
07.08.2020,2020,"MÜMİNCE BİR DUYARLILIK: İYİLİĞİ EMRETMEK, KÖTÜLÜKTEN SAKINDIRMAK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık",2
14.08.2020,2020,ŞÜKREDEN HUZUR BULUR,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret",1
21.08.2020,2020,"MÜMİN: HAKKIN TEMSİLCİSİ, HAKİKATİN DAVETÇİSİ","Sabır, Tevekkül ve Manevi Olgunluk",Kur'an-ı Kerim,5
28.08.2020,2020,ALLAH’IN DİNİNİ YÜCELTME GAYRETİ,"Vatan, Millet ve Tarih",,0
04.09.2020,2020,"İSLAM, TEMİZLİĞİ EMREDER","Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret",2
11.09.2020,2020,DİN İSTİSMARINA KARŞI FERASETLİ VE BASİRETLİ OLALIM,Kur'an-ı Kerim,"Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik",0
18.09.2020,2020,BEREKET: MANEVİ BOLLUK,"Sabır, Tevekkül ve Manevi Olgunluk",,2
