tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
01.04.2016,2016,ÖFKEYE HÂKİM OLABİLMEK,"Sabır, Tevekkül ve Manevi Olgunluk","Ramazan, Oruç ve Bayramlar; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, öfkeye hâkim olmanın olgun bir mümin olmanın en önemli göstergelerinden biri olduğunu, Hz. Musa ve Hz. Yunus'un öfke anındaki tecrübelerinden örneklerle anlatır. Öfkenin insanı vicdansızlaştırdığı, aile ve toplum hayatında geri dönülmez zararlara yol açtığı vurgulanır. Hutbe, Regaib Kandili tebriki ve üç ayların hayırlı olması temennisiyle sona erer.",öfke kontrolü; sabır; hz. musa; hz. yunus; regaib kandili; üç aylar
08.04.2016,2016,"HZ. PEYGAMBER, TEVHİD VE VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","Hutbe, Kutlu Doğum Haftası vesilesiyle tevhid ve vahdet kavramlarını, Peygamberimizin bu iki değeri insanlığa nasıl kazandırdığını anlatır. Tevhidin sadece inanç değil bir yaşam biçimi olduğu, vahdetin ise kardeşlik ve dayanışma anlamına geldiği vurgulanır. Hutbe, tevhid ve vahdetin İslam ümmetinin birlik ve huzuruna vesile olması temennisiyle sona erer.",kutlu doğum haftası; tevhid; vahdet; birlik; kardeşlik; ümmet
15.04.2016,2016,TEVHİD VE VAHDET MEDENİYETİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, Habeşistan'a hicret eden sahabelerin Necaşi'ye yaptığı konuşmadan hareketle İslam medeniyetinin bir tevhid ve vahdet medeniyeti olduğunu anlatır. Bu medeniyetin insanları ırk ve coğrafyaya göre ayırmadığı, ancak günümüzde mezhepçilik ve tefrikanın bu birliği zedelediği vurgulanır. Hutbe, insanlığı diriltmek için birlik olma çağrısıyla sona erer.",tevhid ve vahdet; necaşi; hicret; islam medeniyeti; mezhepçilik; birlik
22.04.2016,2016,TEVHİD VE VAHDETİN ÖNCÜSÜ MÜMİNLER,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, İslam ümmetinin tevhid ile gelen vahdetin temsilcisi olduğunu, ümmetin ilim ve hikmetten uzaklaştıkça cehalet ve zayıflığa düştüğünü anlatır. İslam coğrafyasını saran üç büyük fitnenin mezhepçilik, ırkçılık ve terör olduğu belirtilir. Hutbe, ümmetin tevhid ve vahdette birleşmesi duasıyla sona erer.",ümmet; mezhepçilik; ırkçılık; terör; tevhid ve vahdet; fitne
29.04.2016,2016,MİRAÇ KANDİLİ,"Kandiller, Muharrem ve Mübarek Geceler",İbadet ve Kulluk,"Hutbe, Miraç Kandili vesilesiyle İsra ve Miraç mucizesinin Peygamberimizin Allah'ın kudretine yaptığı en görkemli şahitlik olduğunu anlatır. Namazın bu gecede farz kılındığı, namazın her rüknünün miracın manevi bir yansıması olduğu vurgulanır. Hutbe, miraç değerlerinin hayata yansıtılması ve kandilin İslam âlemine hayır getirmesi duasıyla sona erer.",miraç kandili; isra ve miraç; namaz; kulluk; manevi yükseliş
06.05.2016,2016,O BÜYÜK GÜNE HAZIR MIYIZ?,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, üç aylar vesilesiyle ölüm ve ahiret gerçeğinin unutulmaması, her an hesap gününe hazırlıklı olunması gerektiğini anlatır. Ahirete imanın sadece dille ikrar değil, haramlardan kaçınma ve muhtaçlara yardım etme gibi davranışlarla kendini göstermesi gerektiği vurgulanır. Hutbe, hesabını kolay verebilecek bir hayat sürme duasıyla sona erer.",ahiret; hesap günü; üç aylar; ölüm bilinci; nefis muhasebesi
13.05.2016,2016,HUZUR VE MUHABBET OCAĞI: AİLEMİZ,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Hutbe, ailenin sevgi, saygı ve şefkatle inşa edilen bir huzur ocağı olduğunu, Peygamberimizin Hz. Hatice'ye olan vefasının bu konuda örnek teşkil ettiğini anlatır. Anne, baba ve çocukların ailedeki rolleri anlatılırken, günümüzde sosyal medya ve gayri meşru ilişkilerin aile mahremiyetini tehdit ettiği vurgulanır. Hutbe, eşlerin ve çocukların göz aydınlığı kılınması duasıyla sona erer.",aile; hz. hatice; aile mahremiyeti; sosyal medya; ebeveynlik; aile huzuru
20.05.2016,2016,MAHREMİYETİ YİTİRMEK MAHRUMİYETTİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz; Aile, Çocuk ve Nesil","Hutbe, iffet, hayâ ve mahremiyetin İslam ahlakının vazgeçilmez değerleri olduğunu, mahremiyetin kişinin ve ailenin özel alanlarının korunması anlamına geldiğini anlatır. Teknoloji ve sosyal medyanın mahremiyeti hiçe sayarak toplumsal sorunlara yol açtığı, bu nedenle çocuklara mahremiyet eğitimi verilmesi gerektiği vurgulanır. Hutbe, Berat Kandili tebrikiyle sona erer.",mahremiyet; iffet; hayâ; sosyal medya; berat kandili; aile mahremiyeti
27.05.2016,2016,NAMAZ ARINMADIR,İbadet ve Kulluk,,"Hutbe, namazın günde beş kez kalpleri kötülük kirinden arındıran bir ibadet olduğunu, her rüknünün ayrı bir manevi anlam taşıdığını anlatır. Namazın insanları zengin-fakir, genç-yaşlı ayrımı olmaksızın birleştiren bir nimet olduğu vurgulanırken, namazın şekilden ibaret kılınmaması gerektiği hatırlatılır. Hutbe, namazın ihlas ve huşu ile kılınması duasıyla sona erer.",namaz; arınma; ibadet; huşu; namazın rükünleri
03.06.2016,2016,GELİN GÖNÜLLER YAPALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan ayının başlangıcı vesilesiyle Diyanet'in Gelin Gönüller Yapalım çağrısını anlatarak gönül yapmanın sevgi, merhamet ve paylaşımla mümkün olduğunu vurgular. Gönlün Allah katında bedenden daha değerli olduğu, Ramazan'ın bu değeri hatırlatan bir mektep olduğu belirtilir. Hutbe, gönül kırmama ve kırılan gönülleri onarma çağrısıyla sona erer.",ramazan; gönül yapmak; merhamet; paylaşma; gelin gönüller yapalım
10.06.2016,2016,KUR’AN AYI RAMAZAN,Kur'an-ı Kerim,"Vatan, Millet ve Tarih; Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan ayının Kur'an'ın indiği ay olması nedeniyle özel bir öneme sahip olduğunu, Kur'an'ın insanlığı hakka ve adalete çağıran bir hidayet rehberi olduğunu anlatır. Kur'an ile gönül bağının bu ayda güçlendirilmesi gerektiği vurgulanırken, Ramazan'da yaşanan terör saldırılarına da değinilir. Hutbe, şehitlere rahmet ve Kur'an'ın rehberliğinden ayrılmama duasıyla sona erer.",ramazan; kur'an-ı kerim; hidayet; terör saldırısı; kur'an ayı
24.06.2016,2016,ARINMA VESİLESİ: ZEKÂT VE İNFAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, zekâtın İslam'ın beş temel esasından biri olduğunu ve malı bereketlendiren, kişiyi cimrilikten arındıran bir ibadet olduğunu anlatır. Zekâtın zengin ile fakir arasında sevgi ve kardeşlik köprüleri kurduğu, günümüzde ekonomik adaletsizliğin had safhada olduğu vurgulanır. Hutbe, zekât ve fitrelerin vakit kaybetmeden verilmesi çağrısıyla sona erer.",zekât; infak; yetim; ekonomik adalet; yardımlaşma; sadaka
01.07.2016,2016,KADRİMİZİ YÜCELTEN GECE: KADİR GECESİ,"Vatan, Millet ve Tarih","Kandiller, Muharrem ve Mübarek Geceler; İman, Tevhid ve Ahiret","Hutbe, Kadir Gecesi'nin Kur'an'ın indiği, bin aydan hayırlı olan mübarek bir gece olduğunu anlatır. Bu gecenin üç önemli mesajının Kur'an'ın değerini bilmek, tövbe fırsatı ve meleklerin getirdiği barış ve esenlik olduğu vurgulanır. Hutbe, İstanbul'da yaşanan terör saldırısında hayatını kaybedenlere rahmet duasıyla sona erer.",kadir gecesi; kur'an-ı kerim; tövbe; ramazan; istanbul terör saldırısı
05.07.2016,2016,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,"Ramazan Bayramı vesilesiyle geçen mübarek ayın kazandırdığı sabır, şükür ve paylaşma bilincine dikkat çekilir. Terör ve şiddetin yaralarına rağmen milletin birlik ve kardeşliğini koruyarak umut olmaya devam etmesi gerektiği vurgulanır. Hutbe, dargınlıkların bırakılıp kimsesizlere, yaşlılara ve yoksullara bayram sevincinin ulaştırılması çağrısıyla sona erer.",ramazan bayramı; kardeşlik ve birlik; af ve bağışlama; yetim ve kimsesizlere yardım; terör mağduriyeti; bayram sevinci
08.07.2016,2016,RABBİMİZE YAKINLAŞMA VESİLESİ: SILA-İ RAHİM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Peygamberimizin Medine'ye hicretinde akrabalık bağlarına verdiği önemden yola çıkarak sıla-i rahmin sadece görüşülenle değil, ihmal edilenle de ilişki kurmak olduğunu anlatır. Teknolojinin insanları birbirine yakınlaştırırken gönülleri uzaklaştırdığına, yalnız kalan yaşlı ve akrabaların ihmal edildiğine dikkat çekilir. Kapanışta akrabalık bağlarını koparmaktan sakınma çağrısı yapılır.",sıla-i rahim; akrabalık ilişkileri; teknoloji ve yalnızlaşma; anne-baba ziyareti; komşuluk hakları
15.07.2016,2016,HAYATIMIZI İBADET KILABİLMEK,İbadet ve Kulluk,,"Hutbe, Peygamberimizin ölçülü ibadet anlayışını örnek göstererek dinde aşırılığa kaçmamak gerektiğini vurgular. Ramazan'da kazanılan sabır, şükür ve arınma bilincinin bayramdan sonra da yıl boyunca sürdürülmesi gerektiği anlatılır. Hutbe, ibadet ve kulluk şuurunun devamlılığı için Allah'tan yardım dilenmesiyle son bulur.",ölçülü ibadet; ramazan sonrası kulluk bilinci; nefis terbiyesi; namazda huşû; israf ve aşırılıktan kaçınma
22.07.2016,2016,"GÜN, MİLLETÇE KENETLENME VE GELECEĞİMİZİ İNŞA ETME GÜNÜDÜR","Vatan, Millet ve Tarih",,"15 Temmuz darbe girişimi gecesinde yaşanan zorlu sürecin milletin birlik ve kenetlenme ruhuyla atlatıldığı anlatılır. Vatan sevgisi ve iman gücünün hiçbir zorbalığa yenilmeyeceği, dinin istismar edilerek millete kötülük yapılamayacağı vurgulanır. Hutbe, milletin bu direnişinin adalet ve hakkaniyetle zafere ulaşması için edilen dua ile sona erer.",15 temmuz darbe girişimi; milli birlik ve kenetlenme; vatan sevgisi; şehitlik; dinin istismarına karşı uyanıklık
29.07.2016,2016,"EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR.","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ahlak, Erdem ve Söz","Hz. Hatice'nin Peygamberimize verdiği güven örneği üzerinden, tarih boyunca en büyük bozgunculuğun ıslah kisvesi altında dinin değerlerini istismar etmek olduğu anlatılır. 15 Temmuz'daki onurlu duruşun milletin İslam'a ve vatanına bağlılığının bir göstergesi olduğu vurgulanır. Hutbe, milletin akıl ve iradesini başkalarına teslim etmemesi ve birlik içinde kalması için edilen dua ile biter.",dinin istismarı; 15 temmuz darbe girişimi; bozgunculuk; milli birlik; irade ve akıl bağımsızlığı
05.08.2016,2016,KULLUK SADECE ALLAH’A ÖZGÜDÜR,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ahlak, Erdem ve Söz","Hutbe, tevhid inancının bütün peygamberlerin ortak çağrısı olduğunu ve kulluğun yalnızca Allah'a mahsus olduğunu anlatır. İnsanların nefsini veya başka otoriteleri ilahlaştırmasının tarih boyunca büyük bir sapma olduğu, gerçek kurtuluşun Kur'an ve Peygamber'in yolunda olduğu vurgulanır. Hutbe, dinin istismar edilerek fitne çıkarılmasına karşı Allah'a sığınmayla sona erer.",tevhid inancı; kulluk bilinci; kişi kültü ve ilahlaştırma; sırat-ı müstakim; fitne ve istismara karşı uyanıklık
12.08.2016,2016,SIRÂT-I MÜSTAKİM,Kur'an-ı Kerim,"İman, Tevhid ve Ahiret; Peygamberimiz ve Ashab","Hutbe, geçmiş dinlerin din adamlarını veya şahsiyetleri Allah'ın yerine koyarak nasıl saptığını anlatarak sırat-ı müstakimin yalnızca Kur'an ve sünnete dayandığını vurgular. Peygamberler dışında hiç kimsenin masum ve yanılmaz kabul edilemeyeceği, kimseye kutsallık atfedilemeyeceği belirtilir. Hutbe, herkesin ahiretteki akıbetini kendi davranışlarıyla belirleyeceği hatırlatmasıyla ve dini istismardan korunma duasıyla biter.",sırat-ı müstakim; tevhid; kişi kültünden sakınma; kur'an ve sünnetin önceliği; dini istismar
19.08.2016,2016,MÜMİN VE EMANET BİLİNCİ,"Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimizin güvenilirliği örnek gösterilerek imanın ve İslam'ın en büyük emanet olduğu, müminin her konuda emanete sadık kalması gerektiği anlatılır. Aile, vatan, bayrak ve ezan gibi değerlerin de birer emanet olduğu, bunlara ihanetin büyük bir zillet olacağı vurgulanır. Hutbe, terör saldırılarında şehit olanlara rahmet dilenerek ve milletin birlik ruhunun daim kılınması niyazıyla sona erer.",emanet bilinci; güvenilirlik; iman ve islam emaneti; terör saldırıları; vatan ve bayrak
26.08.2016,2016,HAYAT VEREN DİN: İSLÂM,"Vatan, Millet ve Tarih",,"Hutbe, İslam'ın hayat veren bir din olduğunu ve canlı bombalarla masumları katletmenin İslam'ın hiçbir değeriyle bağdaşmadığını vurgular. Bir masumun öldürülmesinin bütün insanlığın öldürülmesi anlamına geldiği hatırlatılarak, bu cinayetleri şehadet ve cihatla ilişkilendirmenin büyük bir ihanet olduğu anlatılır. Hutbe, terör saldırılarında hayatını kaybedenlere rahmet dilenmesiyle son bulur.",intihar saldırıları ve terör; hayat hakkının kutsallığı; cana kıymanın haramlığı; dinin istismarı; masumların katli
02.09.2016,2016,KULLUK VE SAMİMİYET BEYANI: KURBAN,"Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, Kurban Bayramı yaklaşırken kurbanın sadece kan akıtmaktan ibaret olmadığını, Allah'a yakınlaşma ve kulluk-samimiyet beyanı olduğunu anlatır. Hz. İbrahim ve İsmail'in sadakat ve teslimiyetinin kurbanın özünü oluşturduğu, kurbanın aynı zamanda paylaşma ve yardımlaşma vesilesi olduğu vurgulanır. Hutbe, Diyanet'in kurban yardımlarını mazlum ve mağdurlara ulaştıracağı bilgisiyle ve bayram duasıyla sona erer.",kurban ibadeti; hz. i̇brahim'in sadakati; kurban bayramı; takva; yardımlaşma ve paylaşma
09.09.2016,2016,BAYRAM VE HZ. İBRAHİM,Peygamberimiz ve Ashab,"Ramazan, Oruç ve Bayramlar; İbadet ve Kulluk","Kurban Bayramı arifesinde Hz. İbrahim'in tevhid mücadelesi, teslimiyeti ve bütün müminlere örnekliği anlatılır. Hac, kurban ve Kâbe gibi İslami değerlerin Hz. İbrahim'in mirası olduğu, onun azim ve ahlakının örnek alınması gerektiği vurgulanır. Hutbe, Hz. İbrahim'in Kur'an'da geçen dualarıyla ve gelecek nesillerin de tevhide bağlı kalması niyazıyla sona erer.",hz. i̇brahim; tevhid mücadelesi; kurban bayramı; hac ibadeti; örnek şahsiyet
12.09.2016,2016,KURBAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar; İbadet ve Kulluk","Kurban Bayramı hutbesinde, kurbanın Allah'a yakınlaşma ve takva beyanı olduğu, haccın ve kurbanın Hz. İbrahim ailesinin mirası olduğu anlatılır. Bayramın birlik, paylaşma ve gönül kazanma vesilesi olduğu, dargınlıkların bırakılıp yoksul ve kimsesizlere sevinç yaşatılması gerektiği vurgulanır. Hutbe, milletin ve İslam âleminin bayramının mübarek olması duasıyla sona erer.",kurban bayramı; hac ibadeti; takva; paylaşma ve gönül kazanma; birlik ve beraberlik
16.09.2016,2016,EBEDİ BAYRAMLARA BİRLİKTE YOL ALABİLMEK,İbadet ve Kulluk,"Toplumsal Dayanışma, Merhamet ve Kardeşlik; İman, Tevhid ve Ahiret","Hac, kurban ve bayram mevsiminin geride bırakılmasıyla kazanılan arınma ve kulluk bilincinin sadece o mevsimle sınırlı kalmayıp hayat boyu sürdürülmesi gerektiği anlatılır. Birlik ve kardeşlik duygusunun daim kılınması, dünyanın ahiretin tarlası olduğu bilinciyle yaşanması gerektiği vurgulanır. Hutbe, bayram dönüşü trafik kazalarına karşı dikkatli olma çağrısı ve güvenli yolculuk duasıyla sona erer.",hac ve kurban sonrası bilinç; birlik ve kardeşlik; ahiret bilinci; trafik güvenliği; kulluk şuuru
23.09.2016,2016,ALLAH’IM! İLİMLE YÜCELT BİZİ!,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","İbadet ve Kulluk; Aile, Çocuk ve Nesil","Hutbe, İslam medeniyetinin 'Oku' emriyle başladığını, ilmin hem dini hem de kâinata dair bilgileri kapsadığını anlatır. Aile, okul ve caminin çocukların değer ve kimlik kazanmasındaki rolü vurgulanarak yeni eğitim-öğretim yılı vesilesiyle öğretmen, öğrenci ve ailelere seslenilir. Hutbe, ilmin insanlığın hayrına kullanılması ve faydalı bilgiyle donanılması duasıyla sona erer.",ilim ve okuma emri; eğitim-öğretim yılı; aile okul cami üçgeni; öğretmenlere seslenme; kur'an ve peygamber dersleri
30.09.2016,2016,CAMİ VE KİTAP MEDENİYETİ,İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler","Hutbe, hicret, Muharrem ayı ve Camiler Haftası vesilesiyle camilerin yeniden kitap ve ilim merkezleri haline getirilmesi gerektiğini anlatır. İslam medeniyetinin bir kitap medeniyeti olduğu, bilgisizlik ve taassubun bugünkü sıkıntıların temelinde yattığı vurgulanır. Hutbe, camilerde kütüphane ve ders halkaları kurularak ilim ve irfanla yücelme duasıyla sona erer.",camiler haftası; kitap medeniyeti; cami ve kütüphane; hicret; muharrem ayı
07.10.2016,2016,YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜRMEYELİM,"Kandiller, Muharrem ve Mübarek Geceler",,"Muharrem ayında Kerbelâ hadisesi hatırlatılarak Hz. Hüseyin ve Ehl-i Beyt'in şehadetinin İslam ümmetinin ortak hüznü olduğu anlatılır. Kerbelâ'nın ayrılık değil birlik bilinci aşılaması gerektiği, bugün Halep gibi yerlerde yaşanan zulümlerin de aynı acıyı tekrarladığı vurgulanır. Hutbe, Hz. Hüseyin'in duasıyla ve zalimlerden uzak kalma niyazıyla sona erer.",kerbelâ hadisesi; hz. hüseyin; muharrem ayı; halep'teki zulüm; birlik ve kardeşlik
14.10.2016,2016,HAYATA EMEKLE DOKUNMAK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, Peygamberimizin hizmetkarlarına gösterdiği nezaket örnek gösterilerek emek ve hizmetle hayatı kolaylaştıran işçi, temizlikçi ve hizmetlilere saygı gösterilmesi gerektiğini anlatır. Her insanın mesleği ne olursa olsun onurunun eşit ve saygın olduğu, emeğin küçümsenemeyeceği vurgulanır. Hutbe, emek sahiplerinin işlerinin kolaylaştırılması duasıyla sona erer.",emeğe saygı; hizmetkarlara nezaket; işçi hakları; insan onuru; peygamberin örnek ahlakı
21.10.2016,2016,ALLAH’A VERDİĞİ SÖZE SADIK KİMSE: MÜMİN,Peygamberimiz ve Ashab,,"Cafer-i Tayyar'ın Necaşi huzurundaki konuşması üzerinden İslam'ın cahiliye dönemindeki zulüm ve kötülükleri nasıl ortadan kaldırdığı, emanet, doğruluk ve akrabalık gibi değerleri nasıl öğrettiği anlatılır. İkinci bölümde Cibril hadisi üzerinden İslam'ın açık ve net olduğu, dinin rüya, keramet veya kıyamet senaryolarıyla istismar edilemeyeceği vurgulanır. Hutbe, kalplerin doğru yoldan saptırılmaması duasıyla sona erer.",cafer-i tayyar ve necaşi; habeşistan hicreti; cibril hadisi; i̇slam'ın şartları; dini istismara karşı uyanıklık
04.11.2016,2016,ÖRNEK ÜMMET OLABİLMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","Selman-ı Farisi ve Hz. Ömer'in soy sorgusuna verdiği cevaplar üzerinden İslam'da asıl değerin soy değil tevhid ve vahdet olduğu anlatılır. Ümmetin en büyük gayesinin iyiliği yaymak ve kötülüğü ortadan kaldırmak olduğu, tefrika ve şirkin en büyük günahlar olduğu vurgulanır. Hutbe, ümmetin yeniden aziz ve birlik içinde bir topluluk olması duasıyla sona erer.",tevhid ve vahdet; selman-ı farisi; ümmet bilinci; tefrika ve şirk; iyiliği emretme
11.11.2016,2016,KELİME-İ ŞEHÂDET,"İman, Tevhid ve Ahiret",,"Hutbe, kelime-i şehadetin insanı mümin ve Müslüman kılan temel bir hakikat beyanı olduğunu, doğumdan ölüme kadar hayatın bu kelimeyle çerçevelendiğini anlatır. Şehadetin iki kısmının da birlikte kabul edilmesi gerektiği, sadece birinin kabulünün yeterli olmadığı vurgulanır. Hutbe, kelime-i şehadetin bereketinden mahrum kalınmaması duasıyla sona erer.",kelime-i şehadet; tevhid inancı; iman esasları; kulluk misakı; peygamberin risaleti
18.11.2016,2016,ÜMMÜ’L-KİTAP: FATİHA,İbadet ve Kulluk,,"Hutbe, Fatiha suresinin Kur'an'ın anası olduğunu ve namazda Allah ile mümin arasında karşılıklı bir konuşma niteliği taşıdığını anlatır. Surenin her ayetinin Rabbin hamdini, kulluk ahdini ve doğru yola erişme talebini ifade ettiği vurgulanır. Hutbe, bir maden ocağı göçüğünde hayatını kaybedenlere rahmet dileği ve Fatiha'nın hakikatinden mahrum kalınmaması duasıyla sona erer.",fatiha suresi; namaz ve dua; kulluk misakı; kur'an'ın özü; maden kazası
25.11.2016,2016,HAYATIN GAYESİ,İbadet ve Kulluk,,"Hz. Muaz'la Peygamberimiz arasındaki diyalog üzerinden kulun Allah üzerindeki ve Allah'ın kul üzerindeki hakkının kulluk ve tevhid olduğu anlatılır. Hayatın gayesinin Allah'a iman etmek, yeryüzünü imar etmek ve iyiliği yaymak olduğu vurgulanır. Hutbe, ömrün Rabbin rızası doğrultusunda geçirilerek huzur içinde Rabbe dönme umuduyla sona erer.",hayatın gayesi; kulluk bilinci; yeryüzünü imar etmek; iyiliği yayma; hz. muaz kıssası
02.12.2016,2016,YERYÜZÜNÜN KÜÇÜK VE ONURLU HALİFESİ: ÇOCUK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimizin çocuklara gösterdiği şefkat örneği üzerinden çocuğun yeryüzünün küçük ve onurlu halifesi olduğu, her çocuğun masum ve saygın olduğu anlatılır. Dünyada pek çok çocuğun ihmal, istismar ve savaş mağduriyeti yaşadığı, Halep ve Arakan gibi bölgelerdeki çocukların acı çektiği vurgulanır. Hutbe, Aladağ'daki yurt yangınında hayatını kaybeden öğrencilere rahmet dileği ve çocuklara güvenli bir dünya bırakma duasıyla sona erer.",çocuk hakları; çocuk istismarı; halep ve arakan mağduriyeti; merhamet; aladağ yurt yangını
09.12.2016,2016,HALEP’TE İNSANLIK ÖLMESİN!,"Kandiller, Muharrem ve Mübarek Geceler",İbadet ve Kulluk,"Mevlid Kandili arifesinde Halep'te yaşanan katliam ve insanlık dramı anlatılarak kadın, çocuk ve yaşlıların bombalar altında can verdiği, hastanelerin yıkıldığı vurgulanır. Milletin tarih boyunca mazlumun sesi ve muhacirin sığınağı olduğu hatırlatılarak bu duruşun sürdürülmesi gerektiği belirtilir. Hutbe, Diyanet'in başlattığı 'Halep'te İnsanlık Ölmesin' yardım kampanyasına destek çağrısıyla sona erer.",halep katliamı; insanlık ölmesin kampanyası; mazlumlara yardım; mevlid kandili; muhacirlere ensarlık
16.12.2016,2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.,"Vatan, Millet ve Tarih",,"Mevlid Kandili arifesinde yaşanan terör saldırısı sonrası, masum cana kıymanın bütün insanlığı öldürmek anlamına geldiği ve failinin ebedi cehennemle cezalandırılacağı hatırlatılır. Her zorlukla beraber bir kolaylığın geleceği inancıyla milletin birlik ve kardeşliğini koruyarak bu zorlukların üstesinden geleceği vurgulanır. Hutbe, şehitlerin değerlerine sahip çıkma ve milletin her türlü düşmandan korunması duasıyla sona erer.",terör saldırısı; cana kıymanın haramlığı; her zorlukla kolaylık; milli birlik; şehitlik
23.12.2016,2016,ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.,"Vatan, Millet ve Tarih",,"Hutbe, ilk Müslümanların yaşadığı zorluk yıllarından yola çıkarak bugün millete ve İslam âlemine yönelik kötülüklerin ümitsizliğe düşürme, tefrikaya sevk etme ve mazlumların umudu olmaktan çıkarma amacı taşıdığını anlatır. Milletin tarih boyunca Malazgirt, Çanakkale gibi zorlukları birlik içinde aştığı, bugün de aynı kenetlenmenin gösterilmesi gerektiği vurgulanır. Hutbe, sınırda şehit olanlara rahmet dileği ve milletin metanetle mücadele etmesi duasıyla sona erer.",zorluk ve ümit; milli birlik ve tefrika; terör ve şiddet; malazgirt ve çanakkale; mazlumların umudu olmak
30.12.2016,2016,ÖMÜR NİMETİ,"Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk; Kandiller, Muharrem ve Mübarek Geceler","Yılın sonunda hutbe, ömrün, gençliğin, malın ve ilmin kıyamet gününde hesaba çekileceği beş şeyden biri olduğunu anlatır. Zamanın bir emanet olduğu, beyhude ve israfla geçirilen bir hayatın gerçek ömür sayılamayacağı vurgulanır. Hutbe, yılbaşı eğlencelerinin israfa dönüştürülmemesi uyarısı ve kalan ömrün daha hayırlı geçirilmesi duasıyla sona erer.",ömür nimeti; hesap günü; zamanın kıymeti; gençlik ve ibadet; yılbaşı israfı
06.01.2017,2017,"GÜN, TERÖRE KARŞI YEKVÜCUT OLMA GÜNÜDÜR","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Vatan, Millet ve Tarih","İstanbul ve İzmir'deki terör saldırıları sonrası hutbe, her insanın hayat hakkının kutsal olduğunu ve terörün asıl amacının birlik ve kardeşliği zedelemek olduğunu anlatır. Hucurat Suresi'nden araştırma, ıslah, adalet, alay etmeme, gıybet etmeme gibi dokuz ahlaki ilke sırasıyla açıklanır. Hutbe, milletin bu ilkelere sarılarak birlik ve beraberliğini koruması duasıyla sona erer.",terör saldırıları; hucurat suresi ilkeleri; gıybet ve zan; adalet; kardeşlik ahlakı
13.01.2017,2017,ALLAH’IN SEVDİĞİ BİR KUL OLABİLMEK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","İman, Tevhid ve Ahiret; Ahlak, Erdem ve Söz","Hutbe, Kur'an ayetlerinden yola çıkarak Allah'ın sevdiği (temiz olanlar, tövbe edenler, sabredenler, adil olanlar) ve sevmediği (haddi aşanlar, zalimler, israf edenler, kibirlenenler) kul vasıflarını sırayla anlatır. Müminin bu vasıflara göre kendini yeniden gözden geçirmesi gerektiği vurgulanır. Hutbe, Halep yardım kampanyasında toplanan 133 milyon TL'lik bağışın duyurulmasıyla ve bu yardımların kabulü duasıyla sona erer.",allah'ın sevdiği kullar; tövbe ve tevekkül; israf ve kibir; adalet; halep yardım kampanyası
