sira,tarih,yil,baslik,ana_kategori,ikincil_kategoriler
174,10.05.2024,2024,"MEDENİYETİMİZ, VAKIF MEDENİYETİDİR","Ekonomik Hayat: Kazanç, Zekat ve İsraf",
175,05.07.2024,2024,ZARÛRÂT-I HAMSEYİ MUHAFAZA EDELİM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler"
176,12.07.2024,2024,15 TEMMUZ: MİLLETİMİZİN DESTANSI ZAFERİ,"Vatan, Millet ve Tarih",
177,09.08.2024,2024,VEHEN: BİRLİK VE BERABERLİĞİMİZİN ÖNÜNDEKİ BÜYÜK ENGEL,İbadet ve Kulluk,"Ahlak, Erdem ve Söz; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim"
178,16.08.2024,2024,ÇEVREMİZ BİZE EMANETTİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
179,25.10.2024,2024,VATAN MÜDAFAASI MUKADDESTİR,"Vatan, Millet ve Tarih",
180,01.11.2024,2024,HER CANIN DOKUNULMAZLIĞI VARDIR,"Aile, Çocuk ve Nesil",İslam Coğrafyası ve Küresel Meseleler; Peygamberimiz ve Ashab
181,15.11.2024,2024,ÂDÂB VE ERKÂNIYLA CUMA NAMAZI,İbadet ve Kulluk,
182,29.11.2024,2024,MADDİ VE MANEVİ TÜKENİŞ: KUMAR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Aile, Çocuk ve Nesil"
183,06.12.2024,2024,MİRAS: SINIRLARINI ALLAH’IN BELİRLEDİĞİ HAK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil"
184,13.12.2024,2024,HER ZORLUKTAN SONRA KOLAYLIK VARDIR,İslam Coğrafyası ve Küresel Meseleler,İbadet ve Kulluk; Peygamberimiz ve Ashab
185,03.01.2025,2025,MÜMİNİN HAYATINDA UMUTSUZLUĞA YER YOKTUR,Peygamberimiz ve Ashab,"Sabır, Tevekkül ve Manevi Olgunluk; İslam Coğrafyası ve Küresel Meseleler"
186,17.01.2025,2025,"İSLAM, VARLIK SEBEBİMİZDİR",Kur'an-ı Kerim,"Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk"
187,21.02.2025,2025,GAYBIN BİLGİSİ YALNIZCA ALLAH’A AİTTİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",
188,07.03.2025,2025,İYİLİK AYI RAMAZAN,"Ahlak, Erdem ve Söz",
189,21.03.2025,2025,İNFAK VE KUR’AN AYI RAMAZAN,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler; Ekonomik Hayat: Kazanç, Zekat ve İsraf"
190,04.04.2025,2025,GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANIN ROLÜ,"Aile, Çocuk ve Nesil",
191,06.06.2025,2025,MÜSLÜMANIN BİR DURUŞU VARDIR,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
192,13.06.2025,2025,DÜĞÜN YAPMANIN DA BİR ÂDÂBI VARDIR,"Aile, Çocuk ve Nesil",
193,04.07.2025,2025,GEÇMİŞE İBRETLE GELECEĞE FERASETLE BAKALIM,"Kandiller, Muharrem ve Mübarek Geceler",
194,18.07.2025,2025,SUYUMUZU İSRAF ETMEYELİM,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","İbadet ve Kulluk; Afet, Kriz ve Sağlık"
195,08.08.2025,2025,SILA-İ RAHİMLE BEREKETLENEN TATİL,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
196,26.09.2025,2025,"PEYGAMBERİMİZ (S.A.S), CAMİ VE NAMAZ",İbadet ve Kulluk,
197,31.10.2025,2025,AİLEDE HUZURUN KAYNAĞI: MERHAMET VE MUHABBET,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
198,14.11.2025,2025,VATAN VE MİLLET RUHUMUZ,"Vatan, Millet ve Tarih",
199,12.12.2025,2025,İNSAN: KÂİNATIN GÖZBEBEĞİ,"İman, Tevhid ve Ahiret",
200,19.12.2025,2025,HER ANIMIZI EBEDİ KAZANCA DÖNÜŞTÜREBİLİRİZ,"Sabır, Tevekkül ve Manevi Olgunluk",
