"id","tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"2016-04-01","01.04.2016","ÖFKEYE HÂKİM OLABİLMEK","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; uyarı","genel","ahlaki"
"2016-04-08","08.04.2016","HZ. PEYGAMBER, TEVHİD VE VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"2016-04-15","15.04.2016","TEVHİD VE VAHDET MEDENİYETİ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","bilgilendirme; teşvik","ümmet","ahlaki"
"2016-04-22","22.04.2016","TEVHİD VE VAHDETİN ÖNCÜSÜ MÜMİNLER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","uyarı; teşvik","ümmet","ahlaki"
"2016-04-29","29.04.2016","MİRAÇ KANDİLİ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"2016-05-06","06.05.2016","O BÜYÜK GÜNE HAZIR MIYIZ?","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; uyarı","genel","ahlaki"
"2016-05-13","13.05.2016","HUZUR VE MUHABBET OCAĞI: AİLEMİZ","Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","aile","teşvik; uyarı","aileler","ahlaki"
"2016-05-20","20.05.2016","MAHREMİYETİ YİTİRMEK MAHRUMİYETTİR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz","aile","uyarı; teşvik","aileler","ahlaki"
"2016-05-27","27.05.2016","NAMAZ ARINMADIR","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2016-06-03","03.06.2016","GELİN GÖNÜLLER YAPALIM","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ahlaki"
"2016-06-10","10.06.2016","KUR’AN AYI RAMAZAN","Kur'an-ı Kerim","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"2016-06-17","17.06.2016","KUR’ÂN, RAMAZAN VE ÇOCUK","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik","aileler","katılım; ahlaki"
"2016-06-24","24.06.2016","ARINMA VESİLESİ: ZEKÂT VE İNFAK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","maddi"
"2016-07-01","01.07.2016","KADRİMİZİ YÜCELTEN GECE: KADİR GECESİ","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"2016-07-05","05.07.2016","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ahlaki"
"2016-07-08","08.07.2016","RABBİMİZE YAKINLAŞMA VESİLESİ: SILA-İ RAHİM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-07-15","15.07.2016","HAYATIMIZI İBADET KILABİLMEK","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik","genel","ritüel; ahlaki"
"2016-07-22","22.07.2016","GÜN, MİLLETÇE KENETLENME VE GELECEĞİMİZİ İNŞA ETME GÜNÜDÜR","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel"
"2016-07-29","29.07.2016","EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR.","Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"2016-08-05","05.08.2016","KULLUK SADECE ALLAH’A ÖZGÜDÜR","İman, Tevhid ve Ahiret","İbadet ve Kulluk","birey","bilgilendirme; uyarı","genel","ahlaki"
"2016-08-12","12.08.2016","SIRÂT-I MÜSTAKİM","İman, Tevhid ve Ahiret","","birey","bilgilendirme; uyarı","genel","ahlaki"
"2016-08-19","19.08.2016","MÜMİN VE EMANET BİLİNCİ","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-08-26","26.08.2016","HAYAT VEREN DİN: İSLÂM","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","kınama; uyarı","ümmet","ritüel"
"2016-09-02","02.09.2016","KULLUK VE SAMİMİYET BEYANI: KURBAN","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"2016-09-09","09.09.2016","BAYRAM VE HZ. İBRAHİM","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"2016-09-12","12.09.2016","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; ahlaki"
"2016-09-16","16.09.2016","EBEDİ BAYRAMLARA BİRLİKTE YOL ALABİLMEK","İbadet ve Kulluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; uyarı","genel","ahlaki"
"2016-09-23","23.09.2016","ALLAH’IM! İLİMLE YÜCELT BİZİ!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Aile, Çocuk ve Nesil","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2016-09-30","30.09.2016","CAMİ VE KİTAP MEDENİYETİ","İbadet ve Kulluk","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2016-10-07","07.10.2016","YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜRMEYELİM","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teselli; kınama","ümmet","ritüel"
"2016-10-14","14.10.2016","HAYATA EMEKLE DOKUNMAK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-10-21","21.10.2016","ALLAH’A VERDİĞİ SÖZE SADIK KİMSE: MÜMİN","Peygamberimiz ve Ashab","","birey","bilgilendirme; teşvik","genel","ahlaki"
"2016-10-28","28.10.2016","DÎN-İ MÜBÎN-İ İSLAM","İman, Tevhid ve Ahiret","","birey","uyarı; bilgilendirme","genel","ahlaki"
"2016-11-04","04.11.2016","ÖRNEK ÜMMET OLABİLMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"2016-11-11","11.11.2016","KELİME-İ ŞEHÂDET","İman, Tevhid ve Ahiret","","birey","bilgilendirme; teşvik","genel","ahlaki"
"2016-11-18","18.11.2016","ÜMMÜ’L-KİTAP: FATİHA","İbadet ve Kulluk","","birey","bilgilendirme; teşvik","genel","ritüel"
"2016-11-25","25.11.2016","HAYATIN GAYESİ","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-12-02","02.12.2016","YERYÜZÜNÜN KÜÇÜK VE ONURLU HALİFESİ: ÇOCUK","Aile, Çocuk ve Nesil","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teselli; teşvik","genel","ahlaki"
"2016-12-09","09.12.2016","HALEP’TE İNSANLIK ÖLMESİN!","İslam Coğrafyası ve Küresel Meseleler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teselli","ümmet","maddi"
"2016-12-16","16.12.2016","HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teselli; teşvik","millet","ahlaki"
"2016-12-23","23.12.2016","ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teşvik; teselli","millet","ahlaki"
"2016-12-30","30.12.2016","ÖMÜR NİMETİ","Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk","birey","teşvik; uyarı","genel","ahlaki"
"2017-01-06","06.01.2017","GÜN, TERÖRE KARŞI YEKVÜCUT OLMA GÜNÜDÜR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"2017-01-13","13.01.2017","ALLAH'IN SEVDİĞİ BİR KUL OLABİLMEK","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret","birey","teşvik; uyarı","genel","ahlaki"
"2017-01-20","20.01.2017","RAHMÂN'IN MÜMİN KULLARI","Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-01-27","27.01.2017","NAMAZI ZAYİ ETMEK","İbadet ve Kulluk","","birey","uyarı; teşvik","genel","ritüel"
"2017-02-03","03.02.2017","AHİT, AKİT VE MİSAK OLARAK NİKÂH","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2017-02-10","10.02.2017","MÜMİNCE YAKARIŞIN ADI: DUA","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2017-02-17","17.02.2017","ASR SURESİ'NİN ÖĞRETTİĞİ HAKİKATLER","Kur'an-ı Kerim","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-02-24","24.02.2017","ALLAH'A SIĞINMANIN EN GÜZEL İFADESİ: MUAVVİZETEYN SURESİ","İbadet ve Kulluk","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ritüel"
"2017-03-03","03.03.2017","FİRDEVS CENNETİNE MİRASÇI OLMAK","Ahlak, Erdem ve Söz","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-03-10","10.03.2017","KÖTÜLÜĞE ENGEL OLABİLMENİN YOLU İYİLİKTİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-03-17","17.03.2017","ŞEHADETİN DESTANLAŞTIĞI YER: ÇANAKKALE","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2017-03-24","24.03.2017","HİKMET YÜKLÜ ÖĞÜTLER","Ahlak, Erdem ve Söz","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-03-31","31.03.2017","RAĞBETİMİZ, RABBİMİZE OLSUN!","Kandiller, Muharrem ve Mübarek Geceler","","birey","teşvik; bilgilendirme","genel","ritüel; ahlaki"
"2017-04-07","07.04.2017","ZULÜM EBEDİ DEĞİLDİR","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","kınama; teselli","ümmet","ahlaki"
"2017-04-14","14.04.2017","HZ. PEYGAMBER VE GÜVEN TOPLUMU","Peygamberimiz ve Ashab","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"2017-04-21","21.04.2017","MÜMİN GÜVENEN VE GÜVENİLEN İNSANDIR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-04-28","28.04.2017","GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2017-05-05","05.05.2017","NEDAMET VE ÜMİDİN ADI: TÖVBE","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"2017-05-12","12.05.2017","SAMİMİYETSİZLİĞİN ADI: RİYA","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret","birey","uyarı; teşvik","genel","ahlaki"
"2017-05-19","19.05.2017","GERÇEK ÖZGÜRLÜK: ALLAH'A KULLUK","İbadet ve Kulluk","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ahlaki; maddi"
"2017-05-26","26.05.2017","ÜZERİMİZDE HER CANIN HAKKI VARDIR","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2017-06-02","02.06.2017","ORUCUN AÇLIĞI AÇGÖZLÜLÜĞÜ TEDAVİ EDER","Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-06-09","09.06.2017","KUR'AN AYINDA KUR'AN'LA BULUŞALIM","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik; bilgilendirme","aileler","katılım; ahlaki"
"2017-06-16","16.06.2017","ZEKÂT, KAZANCI ARTIRIR; FAİZ YOK EDER","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","teşvik; uyarı","genel","maddi"
"2017-06-23","23.06.2017","ÖMRÜMÜZÜ RAMAZAN KILABİLMEK","Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk","birey","teselli; teşvik","genel","ahlaki"
"2017-06-25","25.06.2017","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"2017-06-30","30.06.2017","ALLAH'IN SIKI TUTULMASINI EMRETTİĞİ BAĞ: SILA-İ RAHİM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2017-07-07","07.07.2017","İMANIMIZ VE İNSANLIĞIMIZIN İMTİHANI: MÜLTECİLER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler; Vatan, Millet ve Tarih","cemaat-toplum","teşvik; bilgilendirme","millet","ahlaki"
"2017-07-14","14.07.2017","SALÂLARIN ŞAHİT OLDUĞU DİRENİŞ: 15 TEMMUZ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; kınama","millet","ritüel"
"2017-07-21","21.07.2017","TÜKENMEYEN HÜZNÜMÜZ: KUDÜS VE MESCİD-İ AKSÂ","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","teselli; kınama","ümmet","ahlaki"
"2017-07-28","28.07.2017","YARATAN, YAŞATAN, HİDAYET VEREN ALLAH'TIR","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-08-04","04.08.2017","RAHMAN'A HAS KUL OLABİLMEK","Ahlak, Erdem ve Söz","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-08-25-b","25.08.2017","ZAFERLER ALLAH'TANDIR (MALAZGİRT ZAFERİ)","Vatan, Millet ve Tarih","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2017-08-11","11.08.2017","ÂYETE'L-KÜRSİ'DEN ÖĞRENDİĞİMİZ HAKİKATLER","İman, Tevhid ve Ahiret","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ritüel"
"2017-08-18","18.08.2017","ALIŞVERİŞ VE TİCARET AHLAKI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz","birey","teşvik; uyarı","esnaf-işveren","ahlaki"
"2017-08-25","25.08.2017","ALLAH'A YAKIN OLMA ARAYIŞI: KURBAN","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"2017-09-01","01.09.2017","İMAN VE İSLAM'IN TEZAHÜRÜ: FAYDASIZ ŞEYLERDEN UZAK DURMAK","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","birey","teşvik; uyarı","genel","ahlaki"
"2017-09-08","08.09.2017","MAZLUMUN YANINDA YER ALMAK","İslam Coğrafyası ve Küresel Meseleler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teselli","ümmet","ahlaki"
"2017-09-15","15.09.2017","BİLENLERLE BİLMEYENLER BİR OLUR MU?","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","","cemaat-toplum","teşvik; bilgilendirme","aileler","ahlaki"
"2017-09-22","22.09.2017","HİCRET: KUTLU BİR YOLCULUK","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-09-29","29.09.2017","CAMİ, ŞEHİR VE MEDENİYET","İbadet ve Kulluk","Kandiller, Muharrem ve Mübarek Geceler","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"2017-10-06","06.10.2017","ALLAH'I UNUTANLAR, UNUTULURLAR","İman, Tevhid ve Ahiret","","birey","uyarı; teşvik","genel","ahlaki"
"2017-10-13","13.10.2017","CENNET YOLCUSU OLABİLMEK","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-10-20","20.10.2017","MÜMİNCE BİR DURUŞ: TEVEKKÜL","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-10-27","27.10.2017","ŞÜKREDEN BİR KUL OLABİLMEK","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-11-03","03.11.2017","SÜNNET: NEBEVİ KILAVUZ","Peygamberimiz ve Ashab","İman, Tevhid ve Ahiret","birey","bilgilendirme; teşvik","genel","ahlaki"
"2017-11-10","10.11.2017","ÖRNEK İNSAN: MÜMİN","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-11-17","17.11.2017","ALLAH KATINDA DİN İSLAM'DIR","İman, Tevhid ve Ahiret","","cemaat-toplum","bilgilendirme; kınama","ümmet","ahlaki"
"2017-11-24","24.11.2017","MEVLİD-İ NEBİ","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2017-12-01","01.12.2017","GÜNEŞİN DOĞDUĞU EN HAYIRLI GÜN: CUMA","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2017-12-08","08.12.2017","KAPANMAYAN YARAMIZ: KUDÜS","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","teselli; kınama","ümmet","ahlaki"
"2017-12-15","15.12.2017","KARDEŞLİĞE SAPLANAN HANÇER: GIYBET","Ahlak, Erdem ve Söz","","birey","uyarı; teşvik","genel","ahlaki"
"2017-12-22","22.12.2017","HELAL HARAM DUYARLILIĞI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz","birey","uyarı; bilgilendirme","genel","ahlaki"
"2017-12-29","29.12.2017","EŞSİZ SERMAYEMİZ: ÖMÜR","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","uyarı; teşvik","genel","ahlaki"
"2018-01-05","05.01.2018","DÜNYADAKİ CENNETİMİZ: AİLE","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2018-01-12","12.01.2018","HAKKIN YANINDA, BÂTILIN KARŞISINDA YER ALABİLMEK","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-01-19","19.01.2018","ÖNCE KENDİMİZDEN SORUMLUYUZ","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-01-26","26.01.2018","BİRLİK VE BERABERLİK RUHU","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; kınama","millet","ahlaki"
"2018-02-02","02.02.2018","İSLAM'IN İKİ ANA KAYNAĞI: KUR'AN VE SÜNNET","Kur'an-ı Kerim","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"2018-02-09","09.02.2018","İSRAF, DİNÎ VE AHLAKÎ BİR İFLASTIR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; bilgilendirme","genel","ahlaki"
"2018-02-16","16.02.2018","CİHÂD: ALLAH YOLUNDA CANLA VE MALLA MÜCADELE","Vatan, Millet ve Tarih","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","millet","ahlaki"
"2018-02-23","23.02.2018","BAĞIMLILIK BİR TUZAKTIR","Afet, Kriz ve Sağlık","Aile, Çocuk ve Nesil","aile","uyarı; teşvik","aileler","ahlaki"
"2018-03-02","02.03.2018","İSLAM'DA TİCARET AHLAKI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz","birey","teşvik; uyarı","esnaf-işveren","ahlaki"
"2018-03-09","09.03.2018","İSLAM'DA KADIN: ADALET, MERHAMET VE HAKKANİYET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","cemaat-toplum","teşvik; kınama","aileler","ahlaki"
"2018-03-16","16.03.2018","MİLLETİMİZİN VAROLUŞ MÜCADELESİ: ÇANAKKALE ZAFERİ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2018-03-23","23.03.2018","İBADET HAYATIMIZ VE GÖNÜL DÜNYAMIZ","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-03-30","30.03.2018","VAHYİN İNSANLIĞA İLK MESAJI: OKU!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","aileler","ahlaki"
"2018-04-06","06.04.2018","İYİLİK: PAYLAŞILDIKÇA ARTAN DEĞER","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-04-13","13.04.2018","MİRAÇ KANDİLİ: KULUN ALLAH'A YAKIN OLMA ÇABASI","Kandiller, Muharrem ve Mübarek Geceler","","birey","teşvik; bilgilendirme","genel","ritüel"
"2018-04-20","20.04.2018","YARINLARIMIZIN ÜMİDİ ÇOCUKLARIMIZ","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2018-04-27","27.04.2018","AF, ARINMA VE KURTULUŞ VESİLESİ: BERAT GECESİ","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"2018-05-04","04.05.2018","KESİNTİSİZ HAYIR ÇEŞMESİ: VAKIFLAR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"2018-05-11","11.05.2018","ADALET VE İHSAN YUVASI: AİLE","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2018-05-18","18.05.2018","DİNMEYEN YARAMIZ: KUDÜS","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","teselli; kınama","ümmet","ahlaki"
"2018-05-25","25.05.2018","ORUÇ VE KUR'ÂN AYI RAMAZAN","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ahlaki; maddi"
"2018-06-01","01.06.2018","MEŞRU OLMAYAN KAZANÇ: FAİZ","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; bilgilendirme","genel","maddi"
"2018-06-08","08.06.2018","AFİYET OLSUN, İSRAF OLMASIN","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk","birey","uyarı; teşvik","genel","ahlaki"
"2018-06-15","15.06.2018","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"2018-06-22","22.06.2018","YAZ KUR'AN KURSLARI VE ÖNEMİ","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik; bilgilendirme","aileler","katılım"
"2018-06-29","29.06.2018","EVLADIN ANNE-BABA ÜZERİNDEKİ HAKLARINDAN BİRİ: GÜZEL İSİM","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2018-07-06","06.07.2018","ALLAH'IN RIZASINA ULAŞTIRAN SALİH AMELLER","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-07-13","13.07.2018","MİLLETÇE YENİDEN DOĞUŞ: 15 TEMMUZ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; kınama","millet","ahlaki"
"2018-07-20","20.07.2018","DÜĞÜN ÂDÂBI","Aile, Çocuk ve Nesil","","aile","uyarı; teşvik","aileler","ahlaki"
"2018-07-27","27.07.2018","İMAN-AMEL İLİŞKİSİ","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-08-03","03.08.2018","CAMİ VE CEMAAT ADABI","İbadet ve Kulluk","","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"2018-08-10","10.08.2018","KURBAN, ALLAH'A YAKINLAŞMA VESİLESİDİR","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"2018-08-17","17.08.2018","SADAKA-İ CÂRİYE","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"2018-08-21","21.08.2018","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"2018-08-24","24.08.2018","GAYRET MÜMİNLERDEN, ZAFER ALLAH'TANDIR","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ahlaki"
"2018-08-31","31.08.2018","ÇALIŞMAK, HAYATIMIZA BEREKET GETİRİR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-09-07","07.09.2018","HİCRET","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2018-09-14","14.09.2018","MUHARREM AYI VE ÂŞÛRÂ GÜNÜ","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","teselli; teşvik","ümmet","ritüel"
"2018-09-21","21.09.2018","ALLAH'IN GÜZEL İSİMLERİNDEN MÜMİNLERE MESAJLAR","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ritüel"
